date,horaire,team_home,team_away,score,cote1,coteN,cote2
24112017,13:00,Minerva,Mohun Bagan,1 : 1,-,-,-
26112017,15:30,Lajong,Gokulam,-,-,-,-
27112017,15:30,East Bengal,Aizawl,2 : 2,-,-,-
30112017,13:00,Minerva,NEROCA,2 : 1,-,-,-
28112017,13:00,Indian Arrows,Chennai City,3 : 0,-,-,-
03122017,15:30,Gokulam,Chennai City,1 : 1,-,-,-
02122017,09:30,Mohun Bagan,East Bengal,1 : 0,-,-,-
01122017,13:00,Lajong,Churchill Brothers,2 : 0,-,-,-
09122017,09:30,Mohun Bagan,Churchill Brothers,5 : 0,1.36,4.20,8.00
08122017,09:30,Gokulam,NEROCA,0 : 3,2.25,3.00,3.20
08122017,13:00,East Bengal,Lajong,5 : 1,1.44,3.79,7.00
04122017,15:30,Indian Arrows,Minerva,0 : 2,-,-,-
03122017,15:30,Gokulam,Chennai City,1 : 1,1.75,3.29,4.50
10122017,15:30,Minerva,Chennai City,2 : 1,1.61,3.50,5.25
22122017,09:30,Lajong,NEROCA,-,-,-,-
21122017,09:30,Indian Arrows,Gokulam,0 : 2,-,-,-
21122017,13:00,Chennai City,East Bengal,1 : 2,-,-,-
18122017,13:00,Mohun Bagan,NEROCA,0 : 0,-,-,-
18122017,15:30,Churchill Brothers ,Chennai City,0 : 2,-,-,-
17122017,09:30,Aizawl,Lajong,0 : 1,-,-,-
17122017,15:30,Minerva,Indian Arrows,1 : 0,-,-,-
