date,horaire,team_home,team_away,score,cote1,coteN,cote2
17112017,15:30,Kerala Blasters,ATK,0 : 0,-,-,-
18112017,15:30,North East Utd,Jamshedpur ,0 : 0,-,-,-
19112017,13:00,Chennaiyin,Goa,2 : 3,-,-,-
19112017,15:30,Bengaluru,Mumbai City,2 : 0,-,-,-
22112017,15:30,Pune City,Delhi Dynamos,2 : 3,-,-,-
23112017,15:30,Chennaiyin,North East Utd,3 : 0,-,-,-
25112017,13:00,ATK,Pune City,1 : 4,-,-,-
25112017,15:30,Bengaluru,Delhi Dynamos,4 : 1,-,-,-
24112017,15:30,Mumbai City,Goa,2 : 1,-,-,-
30112017,15:30,Jamshedpur,ATK,0 : 0,-,-,-
29112017,15:30,Goa,Bengaluru ,4 : 3,-,-,-
28112017,15:30,Pune City,Mumbai City,2 : 1,-,-,-
02122017,13:00,Pune City,Chennaiyin,0 : 1,-,-,-
02122017,15:30,Kerala Blasters ,Mumbai City,1 : 1,-,-,-
01122017,15:30,Delhi Dynamos,North East Utd,0 : 2,-,-,-
09122017,13:00,Jamshedpur,Pune City ,0 : 1,2.25,3.00,3.20
09122017,15:30,Mumbai City,Chennaiyin,1 : 0,2.20,2.89,3.39
08122017,15:30,Goa,Kerala Blasters,5 : 2,1.95,3.00,4.00
07122017,15:30,North East Utd,Bengaluru,0 : 1,2.89,3.20,2.29
06122017,15:30,Chennaiyin,ATK,3 : 2,2.20,2.79,3.50
05122017,15:30,Delhi Dynamos,Jamshedpur,0 : 1,1.85,3.20,4.20
