date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,11:30,Yokohama FC,Machida,2 : 2,-,-,-
22102017,07:00,Renofa Yamaguchi,Mito,1 : 0,-,-,-
22102017,07:00,Yamaga,Oita,0 : 2,-,-,-
22102017,09:00,Gifu,Verdy,1 : 2,-,-,-
22102017,09:00,Shonan,Ehime,1 : 0,-,-,-
22102017,12:00,V-Varen Nagasaki,Nagoya,1 : 1,-,-,-
22102017,07:00,Avispa Fukuoka ,Chiba,0 : 1,-,-,-
22102017,07:00,Kamatamare,Yamagata,0 : 0,-,-,-
22102017,07:00,Kanazawa,Kyoto,0 : 0,-,-,-
22102017,07:00,Kumamoto,Tokushima,1 : 1,-,-,-
22102017,07:00,Okayama,Kusatsu,2 : 1,-,-,-
