date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,07:00,C-Osaka,Kofu,2 : 0,1.52,3.20,4.70
22102017,07:00,Hiroshima,Kawasaki,0 : 3,2.80,3.10,2.00
22102017,07:00,Kobe,Sagan Tosu,1 : 2,1.82,3.00,3.40
22102017,07:00,Omiya Ardija,Kashiwa,1 : 1,3.50,3.10,1.75
22102017,07:00,Vegalta Sendai,Shimizu,0 : 0,2.05,3.00,2.80
22102017,08:00,Iwata,Albirex Niigata,2 : 2,1.58,3.40,4.00
22102017,09:00,Tokyo,Sapporo,1 : 2,1.88,2.95,3.25
22102017,12:00,Yokohama M.,Kashima,3 : 2,3.05,3.00,1.95
22102017,10:00,Urawa,G-Osaka,3 : 3,1.58,3.50,3.90
29102017,06:00,Albirex Niigata,Sagan Tosu,1 : 0,2.25,3.00,2.50
29102017,07:00,Iwata,Yokohama M.,2 : 1,2.10,2.90,2.80
29102017,08:00,C-Osaka,Omiya Ardija ,2 : 1,1.45,3.50,4.75
29102017,08:00,G-Osaka,Vegalta Sendai,1 : 1,2.05,3.10,2.70
29102017,08:00,Hiroshima,Urawa,0 : 1,2.90,3.25,1.90
29102017,08:00,Kashiwa,Kawasaki,2 : 2,2.25,3.15,2.40
29102017,08:00,Kofu,Kobe,2 : 3,2.50,2.80,2.35
29102017,08:00,Sapporo,Kashima,1 : 2,3.90,3.25,1.62
29102017,09:00,Tokyo,Shimizu,0 : 0,2.05,2.95,2.85
