date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,08:30,Baoding Yingli Yitong,Qingdao Huanghai,3 : 2,-,-,-
22102017,08:30,Dalian Transcend,Wuhan Zall,2 : 0,-,-,-
22102017,08:30,Hangzhou Greentown,Shenzhen,2 : 4,-,-,-
22102017,08:30,Meizhou Hakka,Zhejiang Yiteng,2 : 3,-,-,-
22102017,08:30,Nei Mongol,Beijing Renhe,2 : 0,-,-,-
22102017,08:30,Shanghai Shenxin,Shijiazhuang,0 : 1,-,-,-
22102017,08:30,Yunnan Lijiang,Dalian Yifang F.C.,0 : 1,-,-,-
28102017,08:30,Beijing Renhe,Hangzhou Greentown ,2 : 1,-,-,-
28102017,08:30,Dalian Yifang F.C.,Baoding Yingli Yitong,0 : 1,-,-,-
28102017,08:30,Qingdao Huanghai,Meizhou Hakka,1 : 2,-,-,-
28102017,08:30,Shenzhen ,Shanghai Shenxin,0 : 0,-,-,-
28102017,08:30,Shijiazhuang,Dalian Transcend,1 : 1,-,-,-
28102017,08:30,Wuhan Zall,Yunnan Lijiang ,1 : 0,-,-,-
28102017,08:30,Xinjiang Tianshan,Nei Mongol,1 : 4,-,-,-
28102017,08:30,Zhejiang Yiteng,Beijing Baxy,3 : 1,-,-,-
