date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,11:00,Duisburg -19,Paderborn -19 ,4 : 0,-,-,-
22102017,11:00,Schalke 04 -19 ,Oberhausen -19 ,5 : 1,-,-,-
22102017,15:00,Bielefeld -19,B. Monchengladbach -19 ,3 : 1,-,-,-
22102017,12:00,Arminia Klosterhardt -19,Fortuna Koln -19,1 : 0,-,-,-
22102017,13:00,Preussen Munster -19,Dusseldorf -19,4 : 2,-,-,-
28102017,11:00,Oberhausen -19,Leverkusen -19,2 : 1,-,-,-
28102017,13:00,Bochum -19,Preussen Munster -19,4 : 1,-,-,-
28102017,13:00,Paderborn -19,Koln -19,1 : 1,-,-,-
28102017,14:00,B. Monchengladbach -19,Arminia Klosterhardt -19,1 : 0,-,-,-
29102017,11:00,Dortmund -19,Duisburg -19,2 : 0,-,-,-
29102017,11:00,Fortuna Koln -19 ,Schalke 04 -19,1 : 5,-,-,-
29102017,13:00,Dusseldorf -19,Bielefeld -19,1 : 1,-,-,-
04112017,11:00,Duisburg -19,Oberhausen -19,1 : 2,-,-,-
04112017,11:00,Koln -19,Dortmund -19,3 : 1,-,-,-
04112017,11:00,Leverkusen -19,Fortuna Koln -19,4 : 1,-,-,-
04112017,11:00,Preussen Munster -19 ,Paderborn -19,0 : 2,-,-,-
04112017,15:00,Bielefeld -19,Arminia Klosterhardt -19,1 : 2,-,-,-
05112017,11:00,Schalke 04 -19,B. Monchengladbach -19,6 : 1,-,-,-
03112017,16:00,Dusseldorf -19,Bochum -19,1 : 2,-,-,-
