date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,08:00,Ansan Greeners,Seoul E.,1 : 1,-,-,-
22102017,08:00,Asan Mugunghwa,Gyeongnam,2 : 3,-,-,-
22102017,08:00,Bucheon,Suwon City,0 : 1,-,-,-
22102017,08:00,Anyang,Busan ,1 : 2,-,-,-
22102017,08:00,Seongnam,Daejeon,1 : 1,-,-,-
29102017,07:00,Busan,Asan Mugunghwa,1 : 1,-,-,-
29102017,07:00,Daejeon,Ansan Greeners,1 : 1,-,-,-
29102017,07:00,Gyeongnam,Seongnam,1 : 0,-,-,-
29102017,07:00,Seoul E.,Bucheon,2 : 2,-,-,-
29102017,07:00,Suwon City,Anyang,4 : 0,-,-,-
