date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,08:00,Daegu,Incheon ,0 : 0,-,-,-
22102017,08:00,Jeonnam,Pohang,1 : 3,-,-,-
22102017,08:00,Gwangju,Sangju Sangmu,1 : 0,-,-,-
28102017,08:00,Pohang,Daegu,1 : 2,-,-,-
28102017,08:00,Sangju Sangmu,Jeonnam,0 : 0,-,-,-
29102017,07:00,Incheon,Gwangju,0 : 0,-,-,-
04112017,07:00,Daegu,Gwangju,2 : 0,-,-,-
04112017,07:00,Sangju Sangmu,Pohang,3 : 4,-,-,-
05112017,07:00,Jeonnam,Incheon ,2 : 2,-,-,-
18112017,07:00,Daegu,Jeonnam,1 : 0,-,-,-
18112017,07:00,Gwangju,Pohang,0 : 4,-,-,-
18112017,07:00,Incheon,Sangju Sangmu ,2 : 0,-,-,-
