date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,18:30,Nijmegen  ,Achilles 29 ,3 : 0,-,-,-
24102017,19:45,Den Bosch,Cambuur ,0 : 2,-,-,-
24102017,19:45,GVVV ,HFC,1 : 0,-,-,-
24102017,19:45,Katwijk,VVSB ,1 : 2,-,-,-
24102017,19:45,Sittard ,G.A. Eagles,3 : 0,-,-,-
24102017,19:45,Waalwijk ,De Treffers,7 : 0,-,-,-
24102017,19:45,Zwolle ,Kozakken Boys,3 : 2 (2 : 2),-,-,-
24102017,20:45,Twente ,Eindhoven,3 : 0,-,-,-
25102017,18:30,De Dijk,Ajax ,1 : 4,-,-,-
25102017,18:30,Heracles ,Hoek,3 : 1,-,-,-
25102017,18:30,Venlo ,Utrecht ,3 : 1,-,-,-
25102017,19:45,Roda ,Groningen,3 : 1,-,-,-
25102017,19:45,Willem II ,Heerenveen,2 : 1,-,-,-
25102017,20:45,Feyenoord ,Swift ,4 : 1,-,-,-
26102017,18:30,Volendam ,PSV ,0 : 2 (0 : 0),-,-,-
26102017,20:45,Almere ,Alkmaar ,0 : 4,-,-,-
