date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,00:00,Independiente ,Atl. Veraguense ,0 : 2,2.10,3.10,3.20
22102017,03:00,Arabe Unido,Alianza ,2 : 1,-,-,-
22102017,03:00,Santa Gema,Independiente,1 : 1,-,-,-
22102017,23:00,Atl. Veraguense,Chorrillo,1 : 1,-,-,-
22102017,01:00,Miguelito ,San Francisco,1 : 0,-,-,-
22102017,01:00,Plaza Amador,Tauro,1 : 0,-,-,-
28102017,23:00,Atl. Veraguense,Arabe Unido ,2 : 1,-,-,-
29102017,01:00,Miguelito ,Chorrillo,0 : 2,-,-,-
29102017,01:00,Plaza Amador,Independiente,2 : 0,-,-,-
29102017,01:00,Santa Gema ,Alianza,2 : 0,-,-,-
29102017,01:00,Tauro,San Francisco,4 : 2,-,-,-
12112017,00:00,Alianza,Atl. Veraguense,2 : 0,-,-,-
12112017,00:00,Arabe Unido,Tauro,0 : 0,-,-,-
12112017,00:00,Chorrillo,Santa Gema ,1 : 1,-,-,-
12112017,00:00,Independiente,Miguelito,0 : 0,-,-,-
12112017,00:00,San Francisco ,Plaza Amador ,2 : 1,-,-,-
12112017,00:00,Alianza,Atl. Veraguense,2 : 0,-,-,-
12112017,00:00,Arabe Unido,Tauro,0 : 0,-,-,-
12112017,00:00,Chorrillo,Santa Gema ,1 : 1,-,-,-
12112017,00:00,Independiente,Miguelito,0 : 0,-,-,-
12112017,00:00,San Francisco ,Plaza Amador ,2 : 1,-,-,-
