date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,21:00,Las Palmas,Celta Vigo ,2 : 5,2.70,3.40,2.63
22102017,13:00,Levante,Getafe,1 : 1,2.45,2.90,2.85
22102017,16:15,Betis,Alaves,2 : 0,1.55,3.75,5.25
22102017,18:30,Valence,FC Séville,4 : 0,2.10,3.50,3.00
22102017,20:45,Barcelone,Malaga,2 : 0,1.04,11.50,25.00
22102017,20:00,Real Sociedad,Espanyol,0 : 1,1.65,3.60,4.60
22102017,21:00,La Corogne,Girona,-,1.95,3.30,3.50
22102017,12:00,Villarreal,Las Palmas,4 : 0,1.50,4.00,5.50
22102017,16:15,Celta Vigo,Atl. Madrid,0 : 1,3.50,3.15,2.00
22102017,18:30,Leganes,Ath. Bilbao,1 : 0,2.50,2.85,2.85
22102017,20:45,Real Madrid,Eibar,3 : 0,1.06,9.25,21.00
23102017,20:00,Real Sociedad ,Espanyol,1 : 1,1.65,3.60,4.60
23102017,21:00,La Corogne,Girona,1 : 2,1.95,3.30,3.50
