date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,18:30,Targu Mures,AFC Hermannstadt ,2 : 2,-,-,-
22102017,10:00,Afumati,Ripensia Timisoara ,2 : 0,-,-,-
22102017,10:00,Balotesti,Targu Mures,2 : 6,-,-,-
22102017,10:00,Calarasi,Luceafarul Oradea,1 : 0,-,-,-
22102017,10:00,Clinceni,Chindia Targoviste,0 : 2,-,-,-
22102017,10:00,Metaloglobus ,Sportul Snagov ,2 : 1,-,-,-
22102017,10:00,Pandurii,Politehnica Timisoara,1 : 1,-,-,-
22102017,10:00,Satu Mare,Foresta Suceava,2 : 0,-,-,-
22102017,10:00,UTA Arad,Miroslava,3 : 0,-,-,-
22102017,15:00,Mioveni,Arges Pitesti,0 : 0,-,-,-
22102017,10:30,AFC Hermannstadt,Braila,3 : 2,-,-,-
