date,horaire,team_home,team_away,score,cote1,coteN,cote2
25112017,01:30,La Equidad,Millonarios,1 : 1,2.95,2.60,2.10
25112017,21:10,Jaguares de Cordoba,Santa Fe,-,2.30,2.65,2.60
25112017,23:05,Tolima,Atl. Nacional,-,2.60,2.65,2.30
26112017,23:05,Tolima,Atl. Nacional,0 : 0,2.20,2.65,2.70
27112017,01:45,America De Cali,Junior,0 : 0,2.15,2.50,3.00
30112017,00:45,Santa Fe ,Jaguares de Cordoba,4 : 1,1.48,3.05,5.25
29112017,01:45,Millonarios  ,La Equidad ,2 : 1,1.42,3.05,6.00
02122017,01:45,Atl. Nacional,Tolima  ,2 : 2 (2 : 1),1.35,3.30,6.75
02122017,23:15,Junior,America De Cali ,2 : 3 (2 : 2),1.35,3.20,6.75
09122017,01:00,Santa Fe ,Tolima ,1 : 1,1.72,3.50,5.00
07122017,01:45,America De Cali ,Millonarios,1 : 2,2.50,2.79,3.25
06122017,02:00,Tolima,Santa Fe,0 : 1,2.45,2.89,2.89
10122017,01:15,Millonarios ,America De Cali,0 : 0,1.61,3.39,5.50
17122017,01:00,Santa Fe,Millonarios ,2 : 2,2.05,2.65,2.95
