date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,00:15,Ind. Medellin,Junior,1 : 2,2.25,3.00,3.50
16102017,00:30,Cortulua,Petrolera,-,2.00,3.25,3.30
16102017,02:30,Dep. Cali,La Equidad ,1 : 1,1.75,3.60,4.50
17102017,02:45,Once Caldas,Atl. Nacional,0 : 1,4.10,2.85,1.65
20102017,02:45,Tigres ,America De Cali,0 : 0,4.00,2.70,1.72
22102017,22:15,Envigado ,Huila,1 : 2,2.15,2.60,2.90
22102017,00:15,Millonarios,Once Caldas,2 : 0,1.30,3.60,6.75
22102017,00:30,Petrolera,Tigres,0 : 1,1.52,2.95,5.00
22102017,02:30,Aguilas,Pasto,2 : 1,1.88,2.75,3.30
22102017,00:30,Tolima,Bucaramanga ,1 : 0,1.45,3.15,5.25
22102017,01:00,La Equidad,Ind. Medellin,2 : 2,2.05,2.75,2.85
22102017,02:45,Junior,Santa Fe ,0 : 1,1.78,2.65,3.90
22102017,22:15,Jaguares de Cordoba,Dep. Cali,3 : 2,2.40,2.65,2.45
23102017,00:15,Millonarios,Once Caldas,2 : 0,1.30,3.60,6.75
23102017,00:30,Petrolera,Tigres,0 : 1,1.52,2.95,5.00
23102017,02:30,Aguilas,Pasto,2 : 1,1.88,2.75,3.30
25102017,02:45,America De Cali,Patriotas,3 : 2,1.40,3.10,6.00
26102017,02:45,Santa Fe,Tolima,1 : 1,1.48,3.10,4.90
28102017,02:45,Patriotas,Petrolera,2 : 0,1.55,2.95,4.75
28102017,23:00,Pasto,Huila,-,1.48,3.05,5.25
29102017,01:00,Aguilas,Tolima,1 : 1,2.40,2.60,2.50
29102017,01:00,Dep. Cali,America De Cali,0 : 0,1.88,2.75,3.30
29102017,02:00,Once Caldas,Envigado,1 : 1,1.80,2.80,3.50
29102017,23:15,Santa Fe ,La Equidad,0 : 0,1.50,2.85,5.50
29102017,23:45,Ind. Medellin,Jaguares de Cordoba,2 : 0,1.48,3.20,4.75
