date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:30,Santos Laguna,Atlas,0 : 1,1.70,3.50,5.25
18102017,02:00,Lobos BUAP,Tijuana,1 : 2,2.20,2.95,2.60
18102017,03:00,Queretaro,Cruz Azul,1 : 2,2.60,2.85,2.25
18102017,03:45,Tigres,Veracruz,1 : 0,1.25,4.10,7.25
18102017,04:00,U.N.A.M.,Leon,2 : 0,2.85,3.20,1.95
18102017,04:30,Atlas,Monarcas,0 : 1,2.25,2.90,2.55
19102017,02:00,Santos Laguna,Necaxa,3 : 2,1.75,3.10,3.50
19102017,02:06,Pachuca,Toluca ,2 : 2,1.90,3.05,3.05
19102017,04:00,Club America,Guadalajara,2 : 1,1.82,2.95,3.40
19102017,04:00,Puebla,Monterrey,2 : 0,3.50,3.05,1.78
22102017,02:00,Monarcas,Leon,0 : 0,2.40,3.05,2.30
22102017,04:00,Atlas,Tijuana,1 : 0,2.50,2.80,2.35
22102017,02:15,Veracruz,Guadalajara,2 : 3,2.75,2.75,2.20
22102017,00:00,Lobos BUAP,Cruz Azul,3 : 0,2.85,3.10,1.95
22102017,00:00,Queretaro,Santos Laguna,1 : 2,2.25,2.90,2.55
22102017,02:00,Tigres ,Toluca ,3 : 0,1.48,3.40,4.70
22102017,02:06,Pachuca,Puebla,1 : 0,1.85,3.00,3.25
22102017,04:00,Club America,Necaxa,0 : 1,1.78,3.05,3.50
22102017,19:00,U.N.A.M.,Monterrey,0 : 1,3.60,3.05,1.75
23102017,02:15,Veracruz,Guadalajara,2 : 3,2.75,2.75,2.20
28102017,02:00,Puebla,U.N.A.M. ,3 : 0,1.95,2.90,3.05
28102017,00:00,Cruz Azul ,Tigres,1 : 2,2.25,2.85,2.60
28102017,00:00,Queretaro,Atlas ,2 : 2,2.15,2.85,2.75
29102017,02:00,Monterrey ,Club America,2 : 0,1.72,3.10,3.60
29102017,02:06,Leon ,Veracruz ,6 : 2,1.38,3.70,5.50
29102017,03:00,Necaxa,Lobos BUAP,5 : 0,1.90,3.05,3.05
29102017,03:06,Guadalajara,Tijuana,3 : 1,2.10,2.80,2.85
29102017,19:00,Toluca,Monarcas,0 : 1,1.82,3.05,3.30
30102017,02:15,Santos Laguna,Pachuca,2�:�2,2.00,3.60,3.50
02112017,04:00,Atlas ,Tigres,1 : 1,3.25,3.00,1.85
04112017,02:00,Monarcas ,Cruz Azul,1 : 2,2.70,2.90,2.15
04112017,04:00,Tijuana,Leon,2 : 1,2.00,3.05,2.85
05112017,00:00,Lobos BUAP,Monterrey,2 : 1,3.15,3.10,1.85
05112017,02:06,Pachuca,Queretaro,0 : 1,1.58,3.30,4.20
05112017,04:00,Club America,Puebla,1 : 1,1.62,3.10,4.10
05112017,04:06,Guadalajara,Atlas,1 : 2,2.10,2.80,2.90
05112017,19:00,U.N.A.M.,Santos Laguna,2 : 2,2.50,3.05,2.20
06112017,02:00,Tigres,Necaxa,1 : 0,1.52,3.20,4.80
06112017,02:15,Veracruz,Toluca,0 : 1,2.95,3.00,1.95
06112017,02:00,Tigres,Necaxa,1 : 0,1.52,3.20,4.80
06112017,02:15,Veracruz,Toluca,0 : 1,2.95,3.00,1.95
10112017,04:00,Monterrey,Santos Laguna ,1 : 1,1.45,3.50,4.80
18112017,02:00,Puebla ,Lobos BUAP,0 : 1,2.10,2.95,2.75
18112017,04:00,Atlas,Pachuca,1 : 1,1.88,3.00,3.20
19112017,00:00,Cruz Azul,Veracruz ,1 : 0,1.24,4.20,7.50
19112017,00:00,Queretaro ,U.N.A.M.,1 : 1,1.95,2.95,3.10
19112017,02:00,Monterrey,Tigres,2 : 0,2.25,2.85,2.60
19112017,02:06,Leon,Guadalajara,0 : 2,1.65,3.40,3.60
19112017,04:00,Necaxa,Monarcas,1 : 2,1.95,2.85,3.10
19112017,19:00,Toluca,Tijuana,3 : 1,1.88,3.00,3.15
20112017,01:30,Santos Laguna,Club America,0 : 1,2.15,3.00,2.65
