date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,21:30,Estoril,Boavista,0 : 3,2.15,2.80,3.20
22102017,17:00,Feirense ,Rio Ave ,1 : 0,3.20,2.90,2.10
22102017,19:15,Setubal,Maritimo ,3 : 1,2.00,2.80,3.70
22102017,21:30,FC Porto,Paços Ferreira,6 : 1,1.07,7.25,17.00
22102017,20:00,Moreirense,Braga,0 : 0,3.50,3.05,1.95
22102017,22:00,Guimaraes,Portimonense,-,1.78,3.30,3.80
22102017,17:00,Tondela,Belenenses ,2 : 0,2.20,2.85,3.10
22102017,19:00,Aves,Benfica,1 : 3,8.00,4.40,1.28
22102017,21:15,Sporting,Chaves,5 : 1,1.14,5.75,13.00
23102017,20:00,Moreirense,Braga,0 : 1,3.50,3.05,1.95
23102017,22:00,Guimaraes,Portimonense,3 : 3,1.75,3.40,3.80
