date,horaire,team_home,team_away,score,cote1,coteN,cote2
30112017,02:00,Coban Imperial,Xelaju ,1 : 1,-,-,-
30112017,02:00,Juticalpa,Real Espana,2 : 3,-,-,-
30112017,02:00,UPNFM,Olimpia,-,-,-,-
28112017,21:30,Guastatoya,Municipal,1 : 1,-,-,-
03122017,02:00,Xelaju ,Coban Imperial  ,2 : 2,-,-,-
02122017,02:00,Real Espana,Juticalpa,-,-,-,-
02122017,23:00,Olimpia,UPNFM,-,-,-,-
01122017,22:00,Municipal ,Guastatoya,2 : 0,-,-,-
08122017,22:00,Antigua  ,Coban Imperial ,1 : 0,1.53,3.79,5.75
08122017,23:00,Olimpia ,UPNFM ,2 : 0,1.50,3.79,6.00
07122017,03:00,Municipal,Petapa,2 : 1,1.83,3.50,3.79
06122017,02:00,Coban Imperial,Antigua,1 : 0,2.14,3.25,3.10
06122017,23:00,Real Espana ,Juticalpa,2 : 0,1.61,4.00,4.33
05122017,21:00,UPNFM,Olimpia ,2 : 2,4.00,3.60,1.72
03122017,02:00,Xelaju ,Coban Imperial  ,2 : 2,1.80,3.39,4.00
10122017,01:00,Petapa,Municipal ,0 : 3,2.00,3.25,3.50
22122017,22:00,Marathon,Real Espana,-,-,-,-
22122017,22:00,Motagua,Olimpia,-,-,-,-
20122017,17:00,Real Espana,Marathon,3 : 0,-,-,-
19122017,22:00,Olimpia,Motagua ,2 : 0,-,-,-
16122017,18:30,Antigua ,Municipal,2 : 1,-,-,-
