date,horaire,team_home,team_away,score,cote1,coteN,cote2
16112017,02:30,Venados ,Juarez,0 : 2,-,-,-
16112017,04:30,Correcaminos,Celaya,4 : 3,-,-,-
17112017,02:30,Alebrijes Oaxaca,Zacatepec,3 : 1,-,-,-
17112017,04:30,Zacatecas Mineros,Tampico Madero,1 : 0,-,-,-
19112017,02:00,Celaya ,Correcaminos ,2 : 1,-,-,-
19112017,04:00,Juarez ,Venados ,1 : 0,-,-,-
19112017,23:00,Zacatepec,Alebrijes Oaxaca ,0 : 0,-,-,-
20112017,03:00,Tampico Madero ,Zacatecas Mineros,3 : 1,-,-,-
23112017,02:30,Tampico Madero,Juarez,2 : 2,-,-,-
23112017,04:30,Alebrijes Oaxaca,Celaya,1 : 0,-,-,-
25112017,02:00,Celaya,Alebrijes Oaxaca  ,2 : 1,-,-,-
25112017,04:00,Juarez ,Tampico Madero ,3 : 2,-,-,-
29112017,02:00,Alebrijes Oaxaca,Juarez,1 : 0,-,-,-
02122017,04:00,Juarez,Alebrijes Oaxaca  ,2 : 2 (1 : 0),-,-,-
