date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,02:00,Correcaminos,Venados,0 : 2,-,-,-
22102017,02:00,Zacatecas Mineros ,Celaya ,1 : 0,-,-,-
22102017,02:00,Alebrijes Oaxaca,Murcielagos ,4 : 0,-,-,-
22102017,02:00,UAEM Potros,Atl. San Luis,0 : 0,-,-,-
22102017,03:00,Juarez,Cimarrones de Sonora,2 : 2,-,-,-
22102017,03:00,Tampico Madero,Atlante,4 : 1,-,-,-
22102017,04:00,Dorados ,Zacatepec,0 : 1,-,-,-
22102017,19:00,Leones Negros ,Cafetaleros de Tapachula ,1 : 2,-,-,-
28102017,02:00,Correcaminos,UAEM Potros,2 : 1,-,-,-
28102017,03:00,Atl. San Luis,Zacatecas Mineros,0 : 0,-,-,-
28102017,03:30,Venados,Atlante ,3 : 1,-,-,-
28102017,05:00,Murcielagos,Juarez,0 : 2,-,-,-
28102017,05:10,Cimarrones de Sonora,Tampico Madero ,1 : 2,-,-,-
28102017,00:00,Zacatepec,Leones Negros,2 : 0,-,-,-
29102017,02:00,Cafetaleros de Tapachula,Alebrijes Oaxaca,4 : 1,-,-,-
29102017,02:15,Celaya ,Dorados ,1 : 0,-,-,-
