date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:00,B. Jerusalem,Netanya,4 : 1,2.10,3.30,3.20
22102017,15:00,Yehuda,Ashdod,1 : 2,1.95,2.75,3.30
22102017,17:00,H. Akko,H. Raanana,0 : 2,2.50,2.70,2.45
22102017,17:15,Netanya,Shmona,3 : 1,2.10,2.90,2.80
22102017,19:30,M. Haifa,B. Jerusalem,1 : 2,2.25,2.90,2.55
22102017,20:00,H. Beer Sheva ,M. Tel Aviv,0 : 0,2.05,2.85,2.90
22102017,18:00,Ashkelon ,M. Petach Tikva ,1 : 3,2.45,2.75,2.45
22102017,19:15,Sakhnin,H. Haifa,0 : 1,2.95,2.85,2.05
23102017,20:00,H. Beer Sheva ,M. Tel Aviv,2 : 1,2.05,2.85,2.90
28102017,15:00,Sakhnin,Netanya ,0 : 0,3.05,2.95,1.95
28102017,17:00,H. Haifa,H. Raanana,2 : 0,1.50,3.20,5.00
28102017,17:15,Shmona,M. Haifa,1 : 0,2.90,2.80,2.10
28102017,19:30,B. Jerusalem,Ashkelon ,2 : 0,1.40,3.60,5.25
29102017,19:10,M. Tel Aviv,H. Akko,5 : 2,1.16,4.60,10.00
29102017,20:00,Ashdod,H. Beer Sheva,1 : 3,6.50,3.70,1.32
30102017,20:00,M. Petach Tikva,Yehuda,1�:�2,2.25,3.10,3.39
04112017,15:00,H. Akko,Ashdod,1 : 0,2.75,2.75,2.20
04112017,17:15,Netanya,H. Haifa ,2 : 0,2.25,3.00,2.50
04112017,19:30,Yehuda,B. Jerusalem,3 : 2,3.75,2.95,1.75
05112017,19:00,M. Petach Tikva,H. Beer Sheva,0 : 2,5.75,3.40,1.40
05112017,19:30,H. Raanana,M. Tel Aviv,0 : 1,9.25,4.40,1.18
05112017,20:00,M. Haifa,Sakhnin ,2 : 0,1.55,3.15,4.70
06112017,18:45,Ashkelon,Shmona,0 : 0,3.00,2.75,2.05
06112017,18:45,Ashkelon,Shmona,0 : 0,3.00,2.75,2.05
18112017,19:30,H. Beer Sheva,H. Akko,3 : 1,1.12,5.25,10.50
25112017,18:00,Ashdod,H. Raanana,0 : 0,2.35,2.65,2.65
25112017,19:15,H. Haifa,M. Tel Aviv,-,3.30,2.95,1.85
24112017,15:00,Sakhnin,Ashkelon,2 : 1,2.15,2.70,2.95
24112017,17:15,Shmona,Yehuda ,2 : 1,1.85,2.85,3.50
24112017,19:30,H. Akko,M. Petach Tikva,0 : 1,2.80,2.80,2.15
24112017,19:30,Netanya,M. Haifa,1 : 1,2.45,3.00,2.30
26112017,20:00,B. Jerusalem,H. Beer Sheva,-,2.75,2.85,2.15
03122017,20:00,H. Haifa,M. Haifa,1 : 0,2.75,2.85,2.15
02122017,18:00,H. Raanana,M. Petach Tikva,0 : 0,2.80,2.65,2.25
02122017,19:15,H. Beer Sheva,Shmona,3 : 1,1.25,3.90,7.75
01122017,15:00,M. Tel Aviv,Ashdod ,1 : 1,1.16,4.50,10.50
01122017,17:00,Yehuda,Sakhnin,3 : 0,2.40,2.65,2.60
01122017,17:15,Ashkelon,Netanya,1 : 1,3.50,3.00,1.78
01122017,19:30,H. Akko ,B. Jerusalem,1 : 3,5.75,3.70,1.35
09122017,18:00,Shmona,H. Akko,4 : 0,1.50,3.79,7.50
09122017,19:15,Sakhnin,H. Beer Sheva,1 : 3,8.50,4.33,1.39
08122017,15:00,Ashdod ,H. Haifa,1 : 1,3.75,3.25,2.04
08122017,15:00,Netanya,Yehuda,1 : 2,1.64,3.50,5.75
08122017,17:15,M. Haifa,Ashkelon,1 : 1,1.30,5.25,9.00
08122017,19:30,B. Jerusalem,H. Raanana,3 : 2,1.44,4.50,7.00
03122017,20:00,H. Haifa,M. Haifa,1 : 0,3.20,3.20,2.14
10122017,20:00,M. Petach Tikva,M. Tel Aviv,0 : 0,6.00,4.00,1.53
22122017,15:00,H. Akko,Netanya,-,4.30,3.30,1.55
22122017,17:00,Yehuda,Ashkelon,-,1.68,2.95,4.10
22122017,17:15,H. Haifa,M. Petach Tikva,-,1.78,2.85,3.75
22122017,19:30,M. Tel Aviv,Shmona,-,1.32,3.60,6.75
17122017,20:00,B. Jerusalem,M. Tel Aviv,1 : 2,3.00,3.00,1.95
16122017,18:00,Shmona ,H. Raanana,0 : 2,1.62,2.95,4.50
16122017,19:30,Netanya,H. Beer Sheva,1 : 0,3.00,3.00,1.95
24122017,20:00,H. Beer Sheva,M. Haifa,2 : 0,1.42,3.25,6.00
23122017,18:00,H. Raanana,Sakhnin,1 : 1,2.40,2.60,2.65
23122017,19:15,Ashdod,B. Jerusalem,1 : 3,3.80,3.10,1.68
29122017,15:00,Yehuda,H. Haifa,0 : 1,2.65,2.70,2.30
29122017,17:15,M. Haifa,H. Akko,0 : 1,1.24,4.00,8.00
29122017,17:15,Netanya,H. Raanana,2 : 2,1.65,3.05,4.10
29122017,19:30,B. Jerusalem ,M. Petach Tikva,1 : 0,1.48,3.30,4.90
