date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Paradou,Tadjenant,1 : 0,1.75,3.20,4.75
17102017,17:00,Medea,Belouizdad,1 : 1,1.85,2.75,3.60
17102017,17:00,Oran,MC Alger,0 : 0,1.90,2.70,3.50
17102017,17:00,USM Blida,Bel Abbes ,2 : 2,2.25,2.70,2.75
17102017,18:00,JS Kabylie,Harrach,2 : 1,1.68,2.75,4.50
17102017,18:00,USM Alger,Biskra,-,1.23,3.90,9.25
17102017,18:45,Constantine,Setif ,2 : 1,2.20,2.65,2.95
17102017,20:00,Saoura,Hussein Dey,1 : 0,1.28,3.80,7.50
20102017,20:45,Saint-Etienne,Montpellier,0 : 1,2.05,3.00,3.60
20102017,17:00,Harrach,USM Blida,2 : 0,1.60,2.90,4.70
22102017,17:00,Monaco,Caen,2 : 0,1.33,4.70,8.00
22102017,20:00,Amiens,Bordeaux,1 : 0,5.75,3.50,1.58
22102017,20:00,Angers,Toulouse,0 : 1,1.90,3.15,4.00
22102017,20:00,Metz ,Dijon,1 : 2,2.65,3.05,2.60
22102017,20:00,Nantes,Guingamp,2 : 1,2.20,2.95,3.40
22102017,20:00,Rennes,Lille ,1 : 0,2.10,3.10,3.40
22102017,16:00,Tadjenant,Hussein Dey,1 : 1,1.58,3.05,4.60
22102017,17:00,Belouizdad,Constantine,0 : 0,2.15,2.65,3.00
22102017,17:00,Biskra ,Oran,2 : 2,3.00,2.60,2.15
22102017,17:00,Medea ,Saoura,2 : 0,2.30,2.60,2.80
22102017,18:00,Bel Abbes,Paradou,0 : 1,1.55,3.00,4.90
22102017,18:45,MC Alger,JS Kabylie,2 : 0,1.35,3.40,7.00
22102017,20:00,Setif,USM Alger,-,-,-,-
22102017,15:00,Esperance Tunis,Monastir,2 : 1,1.20,4.00,11.00
22102017,15:00,Gabes,Metlaoui,5 : 1,2.05,2.75,3.00
22102017,15:00,Nice,Strasbourg ,1 : 2,1.72,3.40,4.60
22102017,17:00,Troyes ,Lyon,0 : 5,5.75,4.40,1.45
22102017,21:00,Marseille,PSG ,2 : 2,9.00,6.00,1.35
22102017,15:00,Ben Guerdane,Kairouanaise,0 : 3,2.00,2.63,3.40
22102017,15:00,Bizertin,Stade Gabesien,2 : 1,1.62,3.00,4.33
22102017,15:00,CO Medenine ,Stade Tunisien ,1 : 0,2.30,2.75,2.60
22102017,16:00,Etoile Sahel,Sfaxien,-,-,-,-
22102017,16:00,Zarzis,Club Africain,-,-,-,-
24102017,18:00,USM Alger,Harrach,2 : 0,1.62,2.85,4.70
27102017,20:45,PSG,Nice,3 : 0,1.13,8.00,17.00
27102017,17:00,Constantine,Medea,1 : 1,1.38,3.25,6.75
27102017,17:00,JS Kabylie,Biskra,0 : 0,1.45,3.25,5.50
27102017,17:00,Oran,Setif,1 : 2,2.20,2.60,2.95
27102017,17:00,Paradou,Harrach,2 : 3,1.48,3.15,5.50
28102017,17:00,Bordeaux,Monaco,0 : 2,2.45,3.35,2.60
28102017,20:00,Caen,Troyes,1 : 0,1.65,3.40,5.25
28102017,20:00,Dijon,Nantes,1 : 0,2.60,2.95,2.75
28102017,20:00,Guingamp,Amiens ,1 : 1,1.82,3.15,4.40
