date,horaire,team_home,team_away,score,cote1,coteN,cote2
08112017,07:00,Shymkent F,Lyon F,0 : 7,15.00,10.00,1.01
08112017,15:00,Brescia F,Montpellier F,2 : 3,4.30,3.90,1.45
08112017,17:00,Gintra F,Barcelone F,0 : 6,22.00,8.75,1.01
08112017,18:00,Sparta Prague F,Linköpings F,1 : 1,3.90,3.25,1.62
08112017,19:00,Fiorentina F,Wolfsburg F,0 : 4,13.00,7.00,1.04
08112017,20:05,Chelsea F,Rosengard F,3 : 0,1.35,3.75,5.75
09112017,18:30,LSK Kvinner F,Manchester City F,0 : 5,5.25,3.60,1.40
09112017,19:00,Stjarnan F,Slavia Prague F,1 : 2,2.50,3.05,2.20
15112017,18:00,Linköpings F ,Sparta Prague F,3 : 0,1.45,3.60,4.60
15112017,18:00,Wolfsburg F ,Fiorentina F,3 : 3,1.01,11.00,19.00
15112017,18:30,Barcelone F ,Gintra F,3 : 0,1.01,11.00,16.00
15112017,18:30,Rosengard F,Chelsea F ,0 : 1,4.10,3.50,1.55
15112017,20:30,Lyon F ,Shymkent F,9 : 0,1.01,11.00,22.00
15112017,20:45,Montpellier F ,Brescia F ,6 : 0,1.16,5.00,8.25
16112017,18:30,Slavia Prague F ,Stjarnan F,0 : 0,1.42,3.80,4.60
16112017,20:00,Manchester City F ,LSK Kvinner F,2 : 1,1.02,8.00,17.00
