date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,APOEL,Dortmund,1 : 1,13.00,5.75,1.20
17102017,20:45,Feyenoord,Shakhtar ,1 : 2,3.40,3.30,2.05
17102017,20:45,Manchester City,Naples,2 : 1,1.55,4.20,5.00
17102017,20:45,Maribor,Liverpool,0 : 7,15.00,6.75,1.15
17102017,20:45,Monaco,Besiktas,1 : 2,1.58,3.90,5.00
17102017,20:45,RB Leipzig,FC Porto,3 : 2,2.10,3.30,3.30
17102017,20:45,Real Madrid,Tottenham,1 : 1,1.38,4.90,6.50
17102017,20:45,Sp. Moscou,FC Séville,5 : 1,3.60,3.50,1.90
18102017,18:00,Qarabag ,Atl. Madrid,0 : 0,11.00,4.80,1.30
18102017,20:45,Anderlecht,PSG,0 : 4,14.50,7.50,1.14
18102017,20:45,Barcelone ,Olympiakos,3 : 1,1.06,10.00,25.00
18102017,20:45,Bayern,Celtic,3 : 0,1.09,9.00,18.00
18102017,20:45,Benfica ,Manchester Utd,0 : 1,4.25,3.40,1.80
18102017,20:45,Chelsea,AS Rome,3 : 3,1.52,4.10,5.50
18102017,20:45,CSKA Moscou,Bale,0 : 2,2.10,3.15,3.40
18102017,20:45,Juventus,Sporting,2 : 1,1.45,3.90,7.25
