date,horaire,team_home,team_away,score,cote1,coteN,cote2
26102017,02:30,Chicago Fire,New York Red Bulls ,0 : 4,1.95,3.15,2.90
26102017,04:30,Vancouver Whitecaps ,San Jose Earthquakes,5 : 0,1.62,3.30,3.80
27102017,01:00,Atlanta United,Columbus Crew ,0 : 1 (0 : 0),1.62,3.40,3.70
27102017,03:30,Houston Dynamo ,Sporting Kansas City,1 : 0 (0 : 0),1.95,2.95,3.00
30102017,01:30,Vancouver Whitecaps,Seattle Sounders,0�:�0,2.79,3.25,2.50
31102017,00:00,New York Red Bulls,Toronto FC,1 : 2,2.20,3.00,2.55
31102017,02:30,Houston Dynamo,Portland Timbers,0 : 0,2.00,3.05,2.80
02112017,01:00,Columbus Crew,New York City ,4 : 1,1.95,3.10,2.90
05112017,21:00,Toronto FC  ,New York Red Bulls ,0 : 1,1.50,3.70,4.10
05112017,23:00,New York City,Columbus Crew,2 : 0,1.45,3.80,4.30
03112017,03:30,Seattle Sounders ,Vancouver Whitecaps,2 : 0,1.38,3.60,5.50
06112017,01:30,Portland Timbers,Houston Dynamo ,1 : 2,1.58,3.40,4.00
06112017,01:30,Portland Timbers,Houston Dynamo ,1 : 2,1.58,3.40,4.00
22112017,02:00,Columbus Crew,Toronto FC,0 : 0,1.88,3.05,3.10
22112017,03:30,Houston Dynamo ,Seattle Sounders,0 : 2,2.25,2.75,2.70
30112017,04:30,Seattle Sounders ,Houston Dynamo ,3 : 0,1.45,3.50,4.90
29112017,01:30,Toronto FC ,Columbus Crew,1 : 0,1.40,3.60,5.25
