date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:30,Colorado Rapids,Real Salt Lake,1 : 0,3.20,3.60,2.10
16102017,01:30,Los Angeles Galaxy,Minnesota,3 : 0,1.62,4.20,4.75
16102017,01:30,Portland Timbers,DC United,4 : 0,1.30,5.50,9.00
16102017,01:30,Seattle Sounders,FC Dallas,4 : 0,1.85,3.40,4.33
16102017,01:30,Sporting Kansas City,Houston Dynamo,0 : 0,1.73,3.60,4.75
16102017,01:30,Vancouver Whitecaps,San Jose Earthquakes,1 : 1,1.75,4.00,4.20
22102017,22:00,Atlanta United,Toronto FC,2 : 2,1.82,3.40,2.95
22102017,22:00,DC United ,New York Red Bulls,1 : 2,1.88,3.20,3.00
22102017,22:00,FC Dallas,Los Angeles Galaxy ,5 : 1,1.25,4.25,6.75
22102017,22:00,Houston Dynamo,Chicago Fire,3 : 0,1.85,3.25,3.05
22102017,22:00,Montreal Impact,New England Revolution,2 : 3,1.85,3.30,2.95
22102017,22:00,New York City,Columbus Crew,2 : 2,1.62,3.40,3.70
22102017,22:00,Philadelphia Union,Orlando City,6 : 1,1.55,3.50,4.10
22102017,22:00,Portland Timbers,Vancouver Whitecaps,2 : 1,1.35,3.90,5.25
22102017,22:00,Real Salt Lake,Sporting Kansas City,2 : 1,1.95,3.05,2.95
22102017,22:00,San Jose Earthquakes,Minnesota,3 : 2,1.25,4.25,7.00
22102017,22:00,Seattle Sounders ,Colorado Rapids ,3 : 0,1.15,4.80,9.75
