date,horaire,team_home,team_away,score,cote1,coteN,cote2
25112017,09:00,Golden Arrows -21,Polokwane -21,3 : 1,-,-,-
25112017,11:00,Amazulu -21,Ajax Cape Town -21,-,-,-,-
25112017,11:00,Bidvest Wits -21,Mamelodi -21,-,-,-,-
25112017,11:00,Orlando -21,Maritzburg Utd -21,1 : 3,-,-,-
25112017,19:00,Free State Stars -21,Supersport -21,-,-,-,-
24112017,09:00,Kaizer -21,Chippa United -21,3 : 0,-,-,-
24112017,11:00,Baroka -21,Bloem Celtic -21,1 : 2,-,-,-
24112017,11:00,Cape Town City -21,Platinum Stars -21,1 : 1,-,-,-
09122017,09:00,Mamelodi -21,Platinum Stars -21,2 : 0,-,-,-
09122017,11:00,Amazulu -21,Cape Town City -21,2 : 1,-,-,-
09122017,11:00,Free State Stars -21,Bidvest Wits -21,2 : 1,-,-,-
09122017,11:00,Supersport -21,Orlando -21,0 : 0,-,-,-
08122017,09:00,Ajax Cape Town -21,Baroka -21,3 : 1,-,-,-
08122017,09:00,Chippa United -21,Golden Arrows -21,-,-,-,-
08122017,09:00,Polokwane -21,Bloem Celtic -21,2 : 1,-,-,-
08122017,11:00,Kaizer -21,Maritzburg Utd -21,2 : 0,-,-,-
