date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,23:00,San Francisco Deltas,Miami FC,1 : 1,-,-,-
19102017,01:00,Jacksonville A.,Edmonton,1 : 1,-,-,-
19102017,01:30,Puerto Rico,New York Cosmos,1 : 4,-,-,-
22102017,21:00,Indy Eleven,Puerto Rico,1 : 2,-,-,-
22102017,01:30,North Carolina,San Francisco Deltas,1 : 1,-,-,-
22102017,03:00,Edmonton ,Miami FC,0 : 2,-,-,-
22102017,22:00,Jacksonville A.,New York Cosmos,4 : 4,-,-,-
26102017,01:30,Puerto Rico,Edmonton,2 : 0,-,-,-
29102017,01:00,Puerto Rico,New York Cosmos,2 : 5,-,-,-
29102017,01:30,Miami FC,Edmonton,2 : 1,-,-,-
29102017,02:00,San Francisco Deltas,Jacksonville A.,0 : 2,-,-,-
29102017,22:00,Indy Eleven,North Carolina,2 : 2,-,-,-
