date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:45,Ballyclare,H&W Welders,4 : 3,-,-,-
22102017,16:00,Larne,Lurgan Celtic,2 : 2,-,-,-
22102017,16:00,Limavady,Dergview,1 : 0,-,-,-
22102017,16:00,Newry City,Knockbreda,1 : 0,-,-,-
22102017,16:00,PSNI,Institute,-,-,-,-
22102017,18:30,Portadown,Loughgall,3 : 0,-,-,-
27102017,20:45,Portadown,Newry City,1 : 4,-,-,-
28102017,16:00,Dergview,Larne,2 : 2,-,-,-
28102017,16:00,Institute,H&W Welders,2 : 1,-,-,-
28102017,16:00,Knockbreda,PSNI,3 : 0,-,-,-
28102017,16:00,Loughgall,Ballyclare,2 : 1,-,-,-
28102017,16:00,Lurgan Celtic,Limavady,3 : 3,-,-,-
