date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,21:00,Ards,Warrenpoint,2 : 1,2.05,3.15,2.65
22102017,16:00,Ballinamallard,C. Rangers ,2 : 0,2.60,3.00,2.15
22102017,16:00,Cliftonville ,Coleraine,1 : 2,2.05,3.10,2.75
22102017,16:00,Glenavon,Ballymena ,4 : 0,1.52,4.00,3.70
22102017,18:30,Dungannon,Glentoran,0 : 2,2.45,3.00,2.30
23102017,20:45,Linfield,Crusaders,2 : 5,2.05,3.00,2.75
27102017,20:45,Crusaders,Ballinamallard,2 : 0,1.08,6.25,10.50
28102017,16:00,Ballymena,Warrenpoint,3 : 3,1.50,3.75,4.00
28102017,16:00,C. Rangers,Glenavon,0 : 2,5.50,4.20,1.32
28102017,16:00,Coleraine,Glentoran,3 : 0,1.50,3.30,4.75
28102017,16:00,Dungannon,Cliftonville,0 : 4,3.90,3.40,1.58
28102017,16:00,Linfield,Ards,2 : 0,1.14,5.25,9.00
31102017,20:45,Coleraine,Ballinamallard,2 : 1,1.17,4.75,8.50
04112017,16:00,Ards,Crusaders,2 : 4,7.00,4.40,1.23
04112017,16:00,Ballinamallard,Linfield ,0 : 6,8.50,4.90,1.17
04112017,16:00,Cliftonville,C. Rangers,3 : 0,1.17,4.75,8.75
04112017,16:00,Glenavon ,Coleraine,2 : 2,2.20,3.10,2.50
04112017,16:00,Warrenpoint,Dungannon ,1 : 2,2.50,3.20,2.15
06112017,20:45,Glentoran,Ballymena,1 : 1,2.20,3.15,2.45
06112017,20:45,Glentoran,Ballymena,1 : 1,2.20,3.15,2.45
10112017,20:45,Ballymena,Linfield ,2 : 1,4.00,3.70,1.52
11112017,16:00,C. Rangers ,Warrenpoint,0 : 2,2.15,3.05,2.55
11112017,16:00,Cliftonville,Ballinamallard,5 : 0,1.11,5.50,10.50
14112017,20:45,Glentoran,Glenavon,1 : 3,3.30,3.25,1.75
18112017,16:00,Ards,Cliftonville,0 : 1,4.60,3.70,1.45
18112017,16:00,Ballinamallard,Glenavon,0 : 3,9.50,5.00,1.14
18112017,16:00,Ballymena,Dungannon,2 : 1,1.68,3.40,3.40
18112017,16:00,Crusaders,C. Rangers,7 : 1,1.14,5.25,8.75
18112017,16:00,Linfield,Coleraine,2 : 1,1.78,3.20,3.25
18112017,16:00,Warrenpoint,Glentoran,2 : 3,3.05,3.15,1.88
21112017,20:45,Coleraine,Ards,4 : 1,1.24,4.50,6.75
21112017,20:45,Dungannon,Crusaders,0 : 4,6.00,4.25,1.28
24112017,16:00,Cliftonville,Ballymena,1 : 0,1.42,3.90,4.50
24112017,16:00,Coleraine,Crusaders,1 : 1,2.80,3.15,2.00
24112017,16:00,Dungannon,C. Rangers,4 : 0,1.60,3.30,3.90
24112017,16:00,Glentoran,Ards,0 : 2,1.62,3.30,3.90
24112017,18:30,Ballinamallard ,Warrenpoint,1 : 1,3.20,3.25,1.78
01122017,16:00,Ards ,Glenavon ,0 : 2,4.70,3.80,1.42
01122017,16:00,Ballymena,Ballinamallard,2 : 1,1.19,4.90,7.50
01122017,16:00,C. Rangers,Coleraine,1 : 3,7.75,4.70,1.19
01122017,16:00,Crusaders ,Glentoran,1 : 0,1.14,4.90,10.50
01122017,16:00,Linfield,Dungannon,1 : 0,1.16,5.00,8.50
01122017,16:00,Warrenpoint,Cliftonville,1 : 3,5.00,3.90,1.38
08122017,16:00,Ards,Ballymena,-,2.79,3.60,2.10
08122017,16:00,C. Rangers,Linfield,-,13.00,7.00,1.12
08122017,16:00,Cliftonville,Glenavon,-,2.14,3.60,3.10
08122017,16:00,Coleraine,Dungannon,1 : 0,1.44,3.79,9.00
08122017,16:00,Glentoran,Ballinamallard,-,1.39,4.33,6.00
08122017,16:00,Warrenpoint,Crusaders,2 : 3,12.00,5.50,1.25
22122017,16:00,Ards,Ballinamallard,-,1.78,3.25,3.20
22122017,16:00,C. Rangers,Glentoran,-,3.15,3.15,1.82
22122017,16:00,Dungannon,Glenavon,-,3.80,3.50,1.58
22122017,16:00,Linfield,Cliftonville,-,1.78,3.15,3.30
21122017,20:45,Crusaders,Ballymena,2 : 1,1.32,4.10,5.75
21122017,20:45,Warrenpoint,Coleraine,0 : 2,4.70,3.70,1.42
25122017,16:00,Ards,C. Rangers,1 : 0,1.80,3.15,3.25
25122017,16:00,Ballinamallard,Dungannon,0 : 1,3.60,3.40,1.65
25122017,16:00,Coleraine,Ballymena,1 : 1,1.42,3.75,4.80
25122017,16:00,Crusaders,Cliftonville,2 : 0,1.58,3.40,3.90
25122017,16:00,Glenavon,Warrenpoint,1 : 0,1.30,4.20,6.00
25122017,16:00,Glentoran ,Linfield,2 : 1,5.00,3.40,1.45
