date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,16:00,Paris SG II,ASM Belfort,3 : 1,-,-,-
28102017,17:00,Andrezieux,Annecy,5 : 1,-,-,-
28102017,17:00,Le Puy,Raon-l'Étape,0 : 0,-,-,-
28102017,18:00,Epinal,Saint-Priest,3 : 2,-,-,-
28102017,18:00,Jura Sud,Schiltigheim SC,2 : 1,-,-,-
28102017,18:00,Montceau Bourgogne,Moulins-Yzeure,0 : 0,-,-,-
28102017,18:00,Monts d'Or Azergues,Lyon II,1 : 2,-,-,-
28102017,18:00,St-Louis Neuweg,Villefranche,0 : 1,-,-,-
04112017,16:00,Lyon II,Jura Sud,0 : 1,-,-,-
04112017,16:00,Villefranche,ASM Belfort,4 : 0,-,-,-
04112017,17:00,Schiltigheim SC,Montceau Bourgogne,1 : 1,-,-,-
04112017,18:00,Annecy,Monts d'Or Azergues,2 : 2,-,-,-
04112017,18:00,Moulins-Yzeure,Le Puy,1 : 1,-,-,-
04112017,18:00,Raon-l'Étape,Paris SG II,2 : 3,-,-,-
04112017,18:00,Saint-Priest,Andrezieux,2 : 0,-,-,-
04112017,18:00,St-Louis Neuweg,Epinal,2 : 1,-,-,-
17112017,20:00,Jura Sud,Annecy,1 : 1,-,-,-
18112017,16:00,Paris SG II,Moulins-Yzeure,1 : 2,-,-,-
18112017,17:00,Andrezieux,St-Louis Neuweg,1 : 0,-,-,-
18112017,17:00,Le Puy,Schiltigheim SC,3 : 0,-,-,-
18112017,18:00,ASM Belfort,Raon-l'Étape,2 : 1,-,-,-
18112017,18:00,Epinal,Villefranche,0 : 0,-,-,-
18112017,18:00,Montceau Bourgogne,Lyon II,2 : 0,-,-,-
18112017,18:00,Monts d'Or Azergues,Saint-Priest,2 : 1,-,-,-
24112017,15:00,Schiltigheim SC,Paris SG II,1 : 1,-,-,-
24112017,17:00,Lyon II,Le Puy,1 : 2,-,-,-
24112017,17:00,Villefranche,Raon-l'Étape,3 : 0,-,-,-
24112017,18:00,Annecy,Montceau Bourgogne,3 : 0,-,-,-
24112017,18:00,Epinal,Andrezieux,2 : 2,-,-,-
24112017,18:00,Saint-Priest,Jura Sud,2 : 1,-,-,-
24112017,18:00,St-Louis Neuweg,Monts d'Or Azergues,0 : 1,-,-,-
24112017,18:30,Moulins-Yzeure,ASM Belfort,1 : 1,-,-,-
08122017,16:00,Jura Sud,St-Louis Neuweg,-,-,-,-
08122017,16:00,Paris SG II,Lyon II,3 : 1,-,-,-
08122017,17:00,Andrezieux,Villefranche,2 : 4,1.83,3.39,3.60
08122017,17:00,Le Puy,Annecy,0 : 0,-,-,-
08122017,18:00,ASM Belfort,Schiltigheim SC,-,-,-,-
08122017,18:00,Montceau Bourgogne,Saint-Priest,1 : 2,-,-,-
08122017,18:00,Monts d'Or Azergues,Epinal,-,-,-,-
08122017,18:00,Raon-l'Étape,Moulins-Yzeure,-,-,-,-
19122017,16:00,Le Puy,St-Louis Neuweg,-,-,-,-
19122017,16:00,Paris SG II,Saint-Priest,2 : 0,-,-,-
19122017,18:00,ASM Belfort,Annecy,3 : 4,-,-,-
19122017,18:00,Jura Sud,Andrezieux,-,-,-,-
19122017,18:00,Villefranche,Monts d'Or Azergues,1 : 0,-,-,-
19122017,19:00,Moulins-Yzeure,Schiltigheim SC,-,-,-,-
19122017,20:00,Montceau Bourgogne,Epinal,1 : 1,-,-,-
