date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,17:00,Lens II,IC Croix,1 : 1,-,-,-
28102017,18:00,AC Amiens,Arras,0 : 2,-,-,-
28102017,18:00,AS Poissy,Fleury-Mérogis,1 : 0,-,-,-
28102017,18:00,Furiani Agliani,Lusitanos St-Maur,2 : 3,-,-,-
28102017,18:00,Lille II,JA Drancy,0 : 1,-,-,-
28102017,18:00,Reims 2,Bastia-Borgo,0 : 1,-,-,-
28102017,18:00,Sainte-Geneviève,Beauvais,2 : 0,-,-,-
28102017,18:00,Sedan,Viry-Chatillon,2 : 1,-,-,-
04112017,17:00,Bastia-Borgo,Fleury-Mérogis,2 : 0,-,-,-
04112017,17:00,Reims 2,Lens II,2 : 2,-,-,-
04112017,18:00,Arras,AS Poissy,1 : 2,-,-,-
04112017,18:00,Beauvais,Sedan,1 : 2,-,-,-
04112017,18:00,JA Drancy,AC Amiens,0 : 0,-,-,-
04112017,18:00,Sainte-Geneviève,Lusitanos St-Maur,1 : 0,-,-,-
04112017,18:00,Viry-Chatillon,Lille II,1 : 1,-,-,-
04112017,19:00,IC Croix,Furiani Agliani,3 : 1,-,-,-
