date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,14:00,Le Havre II,Trelissac,2 : 1,-,-,-
28102017,16:00,Rennes II,Saint-Malo,1 : 2,-,-,-
28102017,18:00,Chartres,Granville,2 : 1,-,-,-
28102017,18:00,Le Mans,Saint-Pryvé Saint-Hilaire FC,0 : 0,-,-,-
28102017,18:00,Lorient II,Romorantin,1 : 0,-,-,-
28102017,18:00,Vitré,FC Mantois 78,3 : 0,-,-,-
28102017,18:30,Fontenay,Stade Briochin,0 : 0,-,-,-
28102017,19:00,Boulogne-Billancourt,Limoges,2 : 1,-,-,-
04112017,15:00,Le Havre II,Boulogne-Billancourt,3 : 4,-,-,-
04112017,18:00,FC Mantois 78,Rennes II,3 : 2,-,-,-
04112017,18:00,Granville,Fontenay,5 : 1,-,-,-
04112017,18:00,Romorantin,Vitré,2 : 1,-,-,-
04112017,18:00,Saint-Malo,Le Mans,1 : 1,-,-,-
04112017,18:00,Saint-Pryvé Saint-Hilaire FC,Chartres,1 : 1,-,-,-
04112017,18:00,Trelissac,Stade Briochin,0 : 1,-,-,-
04112017,19:00,Limoges,Lorient II,0 : 2,-,-,-
11112017,18:00,FC Mantois 78,Lorient II,2 : 0,-,-,-
