date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Benfica,Victoria Rosport,1 : 2,1.65,3.30,3.70
22102017,16:00,Differdange,UNA Strassen,5 : 0,1.17,4.90,8.25
22102017,16:00,Dudelange ,Fola,4 : 3,1.70,3.40,3.40
22102017,16:00,Esch,Petange,0 : 3,2.35,3.20,2.25
22102017,16:00,Jeunesse Esch,Niedercorn,0 : 3,2.30,3.20,2.30
22102017,16:00,Mondorf,Racing Luxembourg,4 : 2,1.80,3.30,3.10
22102017,16:00,Rodange ,Hostert,0 : 0,1.82,3.20,3.15
04112017,17:30,Niedercorn ,Benfica,1 : 3,-,-,-
05112017,16:00,Fola,Mondorf,1 : 1,1.25,4.30,6.75
05112017,16:00,Hostert,Esch ,3 : 1,1.48,3.60,4.40
05112017,16:00,Petange,Differdange,0 : 2,3.70,3.80,1.55
05112017,16:00,Racing Luxembourg,Jeunesse Esch,1 : 2,1.90,3.60,2.65
05112017,16:00,UNA Strassen ,Dudelange,1 : 4,-,-,-
05112017,16:00,Victoria Rosport,Rodange,1 : 1,1.62,3.70,3.40
19112017,15:00,Niedercorn,Victoria Rosport,5 : 0,1.27,4.40,6.25
19112017,15:00,UNA Strassen,Jeunesse Esch,0 : 3,2.30,3.30,2.25
19112017,16:00,Esch,Dudelange,1 : 6,9.00,5.25,1.14
19112017,16:00,Fola,Benfica,2 : 1,1.25,4.70,6.00
19112017,16:00,Petange,Mondorf ,1 : 1,1.50,3.60,4.20
19112017,16:00,Racing Luxembourg,Rodange,3 : 2,1.72,3.40,3.25
19112017,18:00,Hostert,Differdange ,2 : 1,3.50,3.50,1.65
25112017,16:00,Benfica ,UNA Strassen,1 : 1,1.72,3.40,3.30
25112017,16:00,Dudelange,Differdange,0 : 0,1.38,3.90,4.90
25112017,16:00,Mondorf,Esch,3 : 0,1.48,3.50,4.60
25112017,16:00,Niedercorn,Hostert,1 : 1,1.28,4.10,6.50
25112017,16:00,Rodange,Fola,0 : 3,3.50,3.50,1.65
25112017,16:00,Victoria Rosport,Racing Luxembourg,0 : 2,1.90,3.40,2.80
25112017,18:00,Jeunesse Esch,Petange,0 : 0,1.60,3.60,3.60
