date,horaire,team_home,team_away,score,cote1,coteN,cote2
26102017,19:00,Pau FC,Les Herbiers,4 : 0,-,-,-
27102017,20:00,Avranches,Laval,2 : 1,-,-,-
27102017,20:00,Boulogne,Lyon Duchère AS ,1 : 0,-,-,-
27102017,20:00,Cholet,Chambly,4 : 2,-,-,-
27102017,20:00,Creteil,Sannois St-Gratien,1 : 1,-,-,-
27102017,20:00,Marseille Consolat,Beziers,1 : 0,-,-,-
28102017,15:00,Dunkerque,Rodez,1 : 3,-,-,-
28102017,20:00,Red Star,Concarneau,3 : 1,-,-,-
04112017,15:00,Lyon Duchère AS,Grenoble Foot ,2 : 4,-,-,-
03112017,20:00,Beziers ,Avranches,2 : 2,-,-,-
03112017,20:00,Boulogne ,Dunkerque,1 : 1,-,-,-
03112017,20:00,Chambly ,Marseille Consolat ,3 : 0,-,-,-
03112017,20:00,Concarneau,Pau FC,0 : 2,-,-,-
03112017,20:00,Les Herbiers,Cholet,1 : 2,-,-,-
03112017,20:00,Rodez,Creteil,2 : 0,-,-,-
03112017,20:00,Sannois St-Gratien,Red Star,1 : 1,-,-,-
16112017,20:00,Pau FC,Sannois St-Gratien,2 : 2,-,-,-
17112017,20:00,Cholet,Concarneau,1 : 5,-,-,-
17112017,20:00,Creteil,Boulogne,1 : 1,-,-,-
17112017,20:00,Dunkerque,Lyon Duchère AS ,1 : 0,-,-,-
17112017,20:00,Marseille Consolat,Les Herbiers,3 : 3,-,-,-
17112017,20:00,Red Star,Rodez,1 : 0,-,-,-
18112017,14:45,Grenoble Foot,Laval ,1 : 1,-,-,-
18112017,16:00,Avranches,Chambly,0 : 0,-,-,-
24112017,14:30,Boulogne,Red Star,0 : 0,-,-,-
08122017,15:00,Cholet ,Rodez,0 : 1,2.04,3.29,3.25
07122017,20:00,Avranches,Concarneau,3 : 2,2.39,3.10,2.79
07122017,20:00,Creteil,Lyon Duchère AS,0 : 0,2.14,3.10,3.25
07122017,20:00,Laval,Beziers,2 : 2,2.20,3.10,3.10
07122017,20:00,Marseille Consolat ,Sannois St-Gratien,0 : 1,3.39,3.00,2.10
07122017,20:00,Pau FC,Boulogne,2 : 3,2.37,3.00,2.89
07122017,20:00,Red Star,Dunkerque,1 : 2,1.85,3.10,4.50
06122017,20:00,Grenoble Foot,Chambly ,0 : 0,1.83,3.10,4.33
