date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,19:00,Start,Ranheim,4 : 2,-,-,-
22102017,15:00,Arendal,Start,0 : 2,-,-,-
22102017,13:00,Åsane,Tromsdalen,2 : 2,-,-,-
22102017,13:00,Elverum,Sandnes,0 : 1,-,-,-
22102017,13:00,Jerv,Bodo/Glimt,1 : 4,-,-,-
22102017,13:00,Strømmen,Ull/Kisa,3 : 4,-,-,-
22102017,18:00,Kongsvinger,Mjondalen,3 : 2,-,-,-
22102017,18:00,Levanger,Floro,1 : 1,-,-,-
24102017,19:00,Fredrikstad,Ranheim,1 : 2,-,-,-
29102017,12:00,Bodo/Glimt,Åsane,6 : 0,-,-,-
29102017,12:00,Floro,Strømmen ,1 : 5,-,-,-
29102017,12:00,Mjondalen,Levanger,3 : 1,-,-,-
29102017,12:00,Ranheim,Jerv,3 : 1,-,-,-
29102017,12:00,Sandnes,Kongsvinger,0 : 3,-,-,-
29102017,12:00,Start,Elverum,0 : 1,-,-,-
29102017,12:00,Tromsdalen,Fredrikstad,5 : 0,-,-,-
29102017,12:00,Ull/Kisa,Arendal ,4 : 2,-,-,-
