date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,18:00,Vasas,Haladas,1 : 0,2.00,2.95,2.75
22102017,15:30,Debrecen,Haladas,1 : 1,1.45,3.40,4.70
22102017,15:30,Ferencvaros,Ujpest,1 : 0,1.50,3.30,4.30
22102017,15:30,Paks,Mezokovesd,1 : 1,1.52,3.20,4.25
22102017,15:30,Vasas,Balmazujvaros Sport,1 : 2,1.75,3.00,3.40
22102017,15:30,Videoton,Puskas Academy,2 : 0,1.58,3.25,3.90
22102017,18:00,DVTK,Honved ,2 : 1,2.55,2.95,2.15
28102017,15:30,Balmazujvaros Sport,Honved,0 : 3,2.75,2.80,2.10
28102017,15:30,Debrecen,Paks,3 : 2,1.85,2.95,3.10
28102017,15:30,Haladas,DVTK,0 : 3,2.60,2.85,2.15
28102017,15:30,Mezokovesd,Ferencvaros,0 : 1,3.80,3.20,1.60
28102017,15:30,Ujpest,Videoton ,2 : 2,3.05,2.90,1.90
28102017,17:45,Puskas Academy,Vasas,0 : 0,1.80,3.00,3.20
04112017,15:30,DVTK ,Balmazujvaros Sport,1 : 2,1.75,3.00,3.40
04112017,15:30,Ferencvaros,Debrecen,2 : 1,1.55,3.25,4.10
04112017,15:30,Haladas,Paks,1 : 2,2.50,2.75,2.30
04112017,15:30,Vasas,Ujpest,0 : 1,2.80,2.90,2.00
04112017,15:30,Videoton,Mezokovesd,4 : 0,1.19,4.30,7.75
04112017,19:30,Honved,Puskas Academy ,4 : 3,1.78,3.00,3.30
