date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,10:00,Ilocos United ,Davao Aguilas,2 : 4,-,-,-
18102017,13:00,Ceres,JP Voltes ,2 : 2,-,-,-
20102017,13:00,Ilocos United,Meralco Sparks,0 : 3,-,-,-
22102017,09:00,Stallion,Ceres,0 : 1,-,-,-
22102017,10:00,Kaya,Global,2 : 0,-,-,-
22102017,10:00,JP Voltes,Davao Aguilas,-,-,-,-
25102017,09:00,Stallion,Ceres,2 : 0,-,-,-
25102017,10:00,Davao Aguilas,Kaya,0 : 2,-,-,-
28102017,10:00,Ceres,JP Voltes,5 : 0,-,-,-
28102017,13:00,Meralco Sparks ,Kaya ,1 : 0,-,-,-
29102017,09:00,Davao Aguilas,Stallion,2 : 2,-,-,-
29102017,12:00,Global,Ilocos United,3 : 2,-,-,-
31102017,09:00,Meralco Sparks,JP Voltes,1 : 0,-,-,-
02112017,09:00,Global,Stallion,4 : 3,-,-,-
02112017,12:00,Ceres,Davao Aguilas,5 : 1,-,-,-
05112017,09:00,Davao Aguilas,Stallion,0 : 2,-,-,-
05112017,09:00,Ilocos United,Global,-,-,-,-
05112017,12:00,Ceres,Meralco Sparks,6 : 0,-,-,-
