date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,13:00,Sumy ,FC Dnipro Cherkasy,3 : 2,1.75,3.50,4.20
16102017,14:00,Helios,Desna,0 : 0,4.20,3.00,1.85
16102017,17:00,Volyn Lutsk,Hirnyk-Sport,0 : 1,2.15,3.40,3.10
20102017,16:00,Inhulets,Kramatorsk,0 : 0,-,-,-
20102017,17:00,Volyn Lutsk ,Desna,0 : 2,-,-,-
22102017,13:00,Sumy,Naftovik,1 : 0,-,-,-
22102017,14:00,FC Poltava,Hirnyk-Sport,4 : 0,-,-,-
22102017,14:00,Kolos Kovalyovka,Rukh Vynnyky,2 : 1,-,-,-
22102017,14:00,Kremin,FC Dnipro Cherkasy,1 : 0,-,-,-
22102017,14:30,Mykolaiv,Zhemchuzhyna Odesa,4 : 1,-,-,-
22102017,15:00,Obolon Brovar Kyjev,A. Kiev,1 : 5,-,-,-
22102017,13:00,Helios,Balkany Zorya,2 : 1,-,-,-
25102017,15:00,Inhulets,Naftovik,2 : 0,-,-,-
29102017,13:00,Balkany Zorya,Volyn Lutsk,5 : 0,-,-,-
29102017,13:00,FC Dnipro Cherkasy,Obolon Brovar Kyjev,0 : 2,-,-,-
29102017,13:00,Hirnyk-Sport,Rukh Vynnyky,0 : 4,-,-,-
29102017,13:00,Naftovik,Kremin,1 : 2,-,-,-
29102017,13:00,Sumy,Kolos Kovalyovka,0 : 2,-,-,-
29102017,14:00,Kramatorsk,Helios,1 : 1,-,-,-
30102017,13:00,A. Kiev,Mykolaiv,3�:�0,1.36,4.50,9.00
30102017,14:00,Desna�,FC Poltava,1�:�2,1.61,3.60,4.50
04112017,13:00,Helios,Zhemchuzhyna Odesa,3 : 0,-,-,-
04112017,13:00,Kolos Kovalyovka,Hirnyk-Sport ,1 : 0,-,-,-
04112017,13:00,Kremin,Sumy,0 : 2,-,-,-
04112017,13:00,Obolon Brovar Kyjev,Naftovik,3 : 2,-,-,-
05112017,12:00,FC Poltava,Balkany Zorya,4 : 0,-,-,-
05112017,16:00,Mykolaiv,FC Dnipro Cherkasy,3 : 0,-,-,-
03112017,13:00,Rukh Vynnyky,Desna,2 : 1,-,-,-
03112017,15:00,Volyn Lutsk ,Kramatorsk,2 : 1,-,-,-
03112017,16:00,Inhulets,A. Kiev,1 : 0,-,-,-
10112017,13:00,FC Dnipro Cherkasy,Inhulets,0 : 2,-,-,-
10112017,13:00,Zhemchuzhyna Odesa,Volyn Lutsk,4 : 3,-,-,-
11112017,12:00,A. Kiev,Helios,3 : 1,-,-,-
11112017,12:00,Balkany Zorya,Rukh Vynnyky,1 : 1,-,-,-
11112017,12:00,Kremin,Kolos Kovalyovka ,0 : 1,-,-,-
11112017,13:00,Kramatorsk,FC Poltava,2 : 0,-,-,-
11112017,13:00,Naftovik,Mykolaiv,1 : 0,-,-,-
11112017,13:00,Sumy,Obolon Brovar Kyjev,0 : 0,-,-,-
11112017,14:00,Desna,Hirnyk-Sport,1 : 2,-,-,-
14112017,13:00,Zhemchuzhyna Odesa,Inhulets,1 : 2,-,-,-
16112017,12:00,Hirnyk-Sport ,Balkany Zorya,1 : 0,-,-,-
17112017,13:00,Rukh Vynnyky,Kramatorsk,2 : 0,-,-,-
17112017,15:00,Volyn Lutsk,A. Kiev,1 : 3,-,-,-
18112017,12:00,FC Poltava,Zhemchuzhyna Odesa,3 : 0,-,-,-
18112017,12:00,Helios,FC Dnipro Cherkasy,1 : 3,-,-,-
18112017,12:00,Kolos Kovalyovka,Desna,0 : 1,-,-,-
18112017,13:00,Obolon Brovar Kyjev,Kremin,1 : 2,-,-,-
18112017,15:00,Mykolaiv,Sumy,0 : 0,-,-,-
