date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,14:15,Naft Tehran ,Esteghlal Khuzestan,1 : 0,-,-,-
19102017,13:30,Gostaresh,Sepahan,0 : 0,-,-,-
19102017,14:15,Peykan,Tractor-Sazi,2 : 1,-,-,-
19102017,14:30,Sepidrood Rasht,Padideh Khorasan,2 : 1,-,-,-
19102017,14:45,Siah Jamegan ,Sanat-Naft,0 : 1,-,-,-
19102017,16:30,Foolad ,Saipa,1 : 1,-,-,-
20102017,15:20,Zob Ahan,Pars Janoobi Jam,0 : 3,-,-,-
26102017,15:10,Persepolis,Esteghlal F.C.,1 : 0,-,-,-
31102017,12:15,Padideh Khorasan,Foolad,2 : 2,-,-,-
31102017,12:30,Saipa,Persepolis,0 : 2,-,-,-
31102017,13:00,Tractor-Sazi,Zob Ahan,0 : 0,-,-,-
31102017,14:15,Sepahan,Peykan,0 : 1,-,-,-
31102017,15:15,Esteghlal F.C.,Naft Tehran,2 : 0,-,-,-
02112017,13:00,Pars Janoobi Jam,Sepidrood Rasht,3 : 1,-,-,-
02112017,14:30,Esteghlal Khuzestan,Siah Jamegan,2 : 1,-,-,-
03112017,14:30,Sanat-Naft,Gostaresh,0 : 1,-,-,-
15112017,12:00,Gostaresh,Esteghlal Khuzestan,2 : 1,-,-,-
15112017,12:45,Peykan,Sanat-Naft,1 : 1,-,-,-
20112017,12:00,Sepidrood Rasht,Zob Ahan,1 : 2,-,-,-
20112017,12:15,Sepahan,Tractor-Sazi ,3 : 0,-,-,-
20112017,12:15,Siah Jamegan,Esteghlal F.C.,0 : 0,-,-,-
20112017,12:45,Naft Tehran,Saipa,0 : 1,-,-,-
20112017,14:00,Foolad,Pars Janoobi Jam,1 : 0,-,-,-
20112017,15:00,Persepolis,Padideh Khorasan,0 : 0,-,-,-
24112017,11:30,Tractor-Sazi,Sepidrood Rasht,2 : 1,-,-,-
24112017,12:30,Pars Janoobi Jam,Persepolis,0 : 1,-,-,-
24112017,12:30,Zob Ahan ,Foolad ,0 : 1,-,-,-
24112017,12:45,Saipa ,Siah Jamegan ,1 : 0,-,-,-
24112017,15:00,Esteghlal F.C.,Gostaresh,2 : 0,-,-,-
30112017,12:00,Siah Jamegan,Padideh Khorasan,0 : 2,-,-,-
30112017,12:30,Naft Tehran,Pars Janoobi Jam,0 : 0,-,-,-
30112017,12:30,Persepolis,Zob Ahan,4 : 0,-,-,-
30112017,14:15,Sanat-Naft,Tractor-Sazi,1 : 1,-,-,-
29112017,11:45,Gostaresh,Saipa,3 : 1,-,-,-
29112017,12:30,Foolad,Sepidrood Rasht,2 : 1,-,-,-
29112017,12:30,Peykan ,Esteghlal F.C.,0 : 0,-,-,-
29112017,12:45,Sepahan,Esteghlal Khuzestan,1 : 1,-,-,-
05122017,11:30,Tractor-Sazi,Foolad,1 : 1,2.37,2.70,3.25
05122017,12:00,Padideh Khorasan,Gostaresh,0 : 2,1.72,2.89,5.75
05122017,12:30,Sepidrood Rasht,Persepolis,0 : 1,10.00,3.79,1.36
05122017,12:45,Zob Ahan,Naft Tehran,2 : 0,1.44,3.60,8.50
05122017,15:00,Esteghlal F.C.,Sepahan,3 : 0,2.10,2.87,3.75
04122017,12:30,Esteghlal Khuzestan,Sanat-Naft,0 : 1,3.00,2.75,2.50
04122017,12:30,Pars Janoobi Jam,Siah Jamegan,1 : 0,1.44,3.50,8.50
04122017,12:30,Saipa,Peykan,1 : 0,2.87,2.75,2.60
