date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:20,Cork City,Derry City,-,1.62,3.75,5.50
17102017,20:20,Cork City,Derry City,0 : 0,1.48,3.05,5.00
18102017,20:30,Mons Calpe,Lynx,3 : 0,1.82,3.20,3.15
19102017,20:30,Glacis United,Gibraltar Phoenix,1 : 1,1.88,3.30,2.90
20102017,20:30,Gibraltar United,St Josephs,3 : 1,7.75,4.80,1.19
20102017,20:45,Bray,Shamrock Rovers ,1 : 0,3.50,3.15,1.68
20102017,20:45,Dundalk,Bohemians,0 : 1,1.20,4.10,8.00
20102017,20:45,Limerick,Galway,2 : 2,2.45,2.95,2.20
20102017,20:45,St. Patricks,Cork City,4 : 2,1.50,3.50,4.10
20102017,21:00,Finn Harps,Drogheda,-,1.38,3.40,5.50
22102017,18:15,Lincoln,Europa FC,3 : 1,1.65,3.50,3.50
22102017,20:30,Lions Gibraltar,Manchester 62,2 : 2,1.35,3.75,5.75
22102017,20:45,Sligo Rovers,Derry City,3 : 0,2.00,2.90,2.80
23102017,21:00,Finn Harps,Drogheda,2 : 3,1.65,3.05,3.75
