date,horaire,team_home,team_away,score,cote1,coteN,cote2
23102017,20:00,Hull -23,Exeter -23,0 : 2,-,-,-
02112017,13:00,Sunderland -23,Exeter -23,2 : 1,-,-,-
02112017,14:00,Cardiff -23,Southampton -23 ,0 : 1,-,-,-
02112017,20:00,Burnley -23,Colchester -23 ,4 : 0,-,-,-
02112017,20:00,West Brom -23,Sheffield Utd -23,0 : 1,-,-,-
05112017,14:00,Liverpool -23,Bristol City -23 ,7 : 0,-,-,-
03112017,20:00,Blackburn -23,Watford -23,6 : 1,-,-,-
03112017,20:00,Brighton -23,Hull -23 ,2 : 3,-,-,-
03112017,20:00,Stoke -23,Charlton -23,3 : 0,-,-,-
06112017,20:00,Derby -23,Nottingham -23,1 : 2,-,-,-
06112017,20:00,Ipswich -23,Aston Villa -23,2 : 1,-,-,-
06112017,20:00,Middlesbrough -23,Birmingham -23,1 : 3,-,-,-
06112017,20:00,Wolves -23,Norwich -23,3 : 3,-,-,-
06112017,20:00,Derby -23,Nottingham -23,1 : 2,-,-,-
06112017,20:00,Ipswich -23,Aston Villa -23,2 : 1,-,-,-
06112017,20:00,Middlesbrough -23,Birmingham -23,1 : 3,-,-,-
06112017,20:00,Wolves -23,Norwich -23,3 : 3,-,-,-
12112017,20:00,Leicester -23,Portsmouth -23,0 : 0,-,-,-
13112017,20:00,Leicester -23,Portsmouth -23,0 : 0,-,-,-
30112017,15:00,Birmingham -23,Nottingham -23,1 : 3,-,-,-
30112017,20:00,Derby -23,Middlesbrough -23,0 : 0,-,-,-
30112017,20:00,Everton -23,Leicester -23,0 : 1,-,-,-
29112017,20:00,Aston Villa -23,Sheffield Utd -23,-,-,-,-
29112017,20:00,Hull -23,Sunderland -23,0 : 3,-,-,-
28112017,14:00,Newcastle -23,Swansea -23,6 : 3,-,-,-
28112017,20:00,Portsmouth -23,Barnsley -23,0 : 1,-,-,-
03122017,15:00,Charlton -23 ,Bristol City -23,0 : 1,-,-,-
03122017,20:00,Bury -23,Norwich -23,0 : 1,-,-,-
03122017,20:00,Colchester -23,Newcastle -23,1 : 1,-,-,-
03122017,20:00,Exeter -23,Brighton -23,2 : 1,-,-,-
03122017,20:00,Southampton -23,Blackburn -23,2 : 0,-,-,-
02122017,14:00,Liverpool -23,Stoke -23,3 : 4,-,-,-
