date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:00,Everton -23,Wolfsburg II,1 : 3,-,-,-
24102017,20:00,Newcastle -23,Sparta Prague -21,2 : 1,-,-,-
25102017,20:00,Ath. Bilbao B,Celtic -23,1 : 2,-,-,-
02112017,20:00,Derby -23,Wolfsburg II,1 : 0,-,-,-
04112017,15:00,Manchester Utd -23,Swansea -23,2 : 1,-,-,-
10112017,20:00,Liverpool -23,Newcastle -23,2 : 1,-,-,-
14112017,20:00,Tottenham -23,Villarreal B,0 : 2,-,-,-
15112017,20:00,Manchester Utd -23,Ath. Bilbao B,2 : 1,-,-,-
15112017,20:00,Sunderland -23,Legia -21,1 : 1,-,-,-
17112017,20:00,Arsenal -23,FC Porto B,1 : 0,-,-,-
21112017,20:00,West Ham -23,Benfica B,0 : 2,-,-,-
27112017,20:00,Liverpool -23,Sparta Prague -21,0 : 1,-,-,-
29112017,20:00,Arsenal -23,Reading -23,0 : 0,-,-,-
29112017,20:00,Jong PSV,Sparta Prague -21,4 : 3,-,-,-
28112017,20:00,Din. Zagreb 2,Wolfsburg II,3 : 2,-,-,-
28112017,20:00,Legia -21,Hertha II,0 : 2,-,-,-
