date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,19:30,Bidvest Wits,Supersport,-,-,-,-
17102017,19:30,Cape Town City,Bloem Celtic,0 : 1,-,-,-
17102017,19:30,Mamelodi ,Kaizer,1 : 2,-,-,-
18102017,19:30,Amazulu,Polokwane,2 : 3,-,-,-
18102017,19:30,Baroka,Golden Arrows,1 : 1,-,-,-
18102017,19:30,Chippa United,Maritzburg Utd,0 : 0,-,-,-
18102017,19:30,Free State Stars,Ajax Cape Town,2 : 0,-,-,-
18102017,19:30,Orlando,Platinum Stars,1 : 1,-,-,-
22102017,15:30,Golden Arrows,Polokwane,2 : 2,-,-,-
22102017,15:30,Kaizer,Orlando,0 : 0,-,-,-
22102017,20:15,Ajax Cape Town,Bloem Celtic,2 : 1,-,-,-
22102017,20:15,Free State Stars,Platinum Stars,1 : 1,-,-,-
22102017,20:15,Mamelodi,Amazulu,1 : 2,-,-,-
22102017,20:15,Maritzburg Utd,Supersport,-,-,-,-
22102017,15:30,Baroka,Bidvest Wits,0 : 1,-,-,-
22102017,15:30,Chippa United,Cape Town City,2 : 1,-,-,-
