date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Hearts,St. Johnstone,1 : 0,1.72,3.05,3.80
22102017,16:00,Partick,Dundee FC,2 : 1,2.25,2.95,2.60
22102017,16:00,Ross County,Hamilton,2 : 1,1.75,3.30,3.40
24102017,20:45,Hamilton,Partick,0 : 0,2.45,2.90,2.40
24102017,20:45,Hibernian,Hearts,1 : 0,1.95,3.00,3.10
24102017,20:45,St. Johnstone,Ross County,0 : 0,2.15,2.90,2.80
25102017,20:45,Aberdeen,Celtic,0 : 3,4.80,3.40,1.50
25102017,20:45,Dundee FC,Motherwell,0 : 1,-,-,-
25102017,20:45,Rangers ,Kilmarnock,1 : 1,1.20,4.50,8.25
28102017,13:30,Hearts,Rangers,1 : 3,2.85,3.05,2.05
28102017,16:00,Aberdeen,Ross County,2 : 1,1.45,3.50,5.25
28102017,16:00,Celtic,Kilmarnock,1 : 1,1.08,6.50,11.00
28102017,16:00,Dundee FC,Hamilton ,1 : 3,1.95,3.05,3.10
28102017,16:00,Motherwell,Hibernian,0 : 1,-,-,-
28102017,16:00,Partick,St. Johnstone,1 : 0,2.60,2.80,2.35
31102017,20:45,Kilmarnock,Hibernian,0 : 3,4.50,3.15,1.58
04112017,13:30,St. Johnstone,Celtic,0 : 4,9.75,4.80,1.16
04112017,16:00,Hamilton,Aberdeen,2 : 2,4.75,3.30,1.52
04112017,16:00,Hibernian,Dundee FC,2 : 1,1.35,3.90,6.00
04112017,16:00,Rangers,Partick,3 : 0,1.27,4.20,7.00
04112017,16:00,Ross County,Motherwell,3 : 2,-,-,-
05112017,16:00,Hearts,Kilmarnock,1 : 2,1.78,3.00,3.70
