date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,18:00,Nea Salamis,Achnas,0 : 0,1.85,3.40,3.80
22102017,17:00,Alki Oroklini,Doxa,0 : 5,2.55,2.85,2.30
22102017,17:00,Omonia,AEL Limassol,1 : 0,1.72,3.10,3.60
22102017,18:00,Paphos,Nea Salamis,4 : 0,2.10,2.80,2.85
22102017,19:00,Achnas,Anorthosis,1 : 2,5.75,3.30,1.42
22102017,19:00,AEK Larnaca,APOEL,3 : 1,2.35,2.75,2.55
22102017,17:00,Ol. Nicosia,Ermis ,2 : 1,2.95,2.80,2.05
22102017,18:00,Apollon,Aris,1 : 0,1.15,4.80,9.50
24102017,17:00,Doxa,AEK Larnaca,1 : 3,3.50,3.15,1.72
24102017,19:00,Nea Salamis,Omonia,1 : 3,4.60,3.60,1.45
25102017,17:00,Anorthosis,Paphos,0 : 0,1.48,3.30,5.00
25102017,17:00,APOEL,Apollon,-,2.20,2.90,2.65
25102017,18:00,Aris,Achnas,2 : 1,2.05,2.90,2.85
25102017,19:00,Ermis,Alki Oroklini,3 : 2,1.95,2.95,3.10
26102017,18:00,AEL Limassol,Ol. Nicosia,3 : 0,1.15,4.50,11.50
28102017,17:00,Achnas,APOEL,1 : 1,9.00,4.70,1.17
28102017,17:00,Omonia,Anorthosis,1 : 1,2.10,2.85,2.80
28102017,19:00,Alki Oroklini,AEK Larnaca,0 : 1,6.50,4.00,1.28
29102017,17:00,Apollon,Doxa ,4 : 2,1.23,4.25,7.50
29102017,17:00,Paphos,Aris ,0 : 0,1.60,3.20,4.10
29102017,18:00,Ol. Nicosia,Nea Salamis,1 : 1,3.00,2.80,2.05
29102017,19:00,Ermis,AEL Limassol,0 : 1,3.70,2.90,1.78
04112017,16:00,Anorthosis,Ol. Nicosia,5 : 1,1.14,4.90,10.50
04112017,17:00,Doxa,Achnas,4 : 2,1.60,3.20,4.10
04112017,18:00,Aris,Omonia,2 : 2,6.00,3.75,1.35
05112017,15:00,APOEL,Paphos,4 : 0,1.32,3.90,6.00
05112017,15:00,Nea Salamis,Ermis,1 : 1,2.60,2.90,2.20
05112017,16:00,AEL Limassol,Alki Oroklini ,3 : 0,1.35,3.60,6.25
05112017,17:00,AEK Larnaca,Apollon,1 : 1,2.35,2.75,2.55
17112017,18:00,Omonia,APOEL,1 : 3,2.70,2.90,2.15
18112017,16:00,Alki Oroklini,Apollon,1 : 4,6.75,3.90,1.28
18112017,17:00,Achnas,AEK Larnaca,0 : 3,10.50,4.70,1.15
18112017,17:00,Ol. Nicosia,Aris,0 : 0,2.85,2.80,2.10
19112017,15:00,AEL Limassol,Nea Salamis,3 : 1,1.30,3.80,6.75
19112017,17:00,Ermis,Anorthosis,1 : 2,4.70,3.25,1.52
20112017,18:00,Paphos,Doxa,1 : 0,2.40,2.90,2.40
25112017,15:00,AEK Larnaca,Paphos,2 : 0,1.35,3.70,5.75
25112017,16:00,Doxa,Omonia,1 : 2,3.50,3.40,1.68
25112017,17:00,Nea Salamis,Alki Oroklini,0 : 1,2.30,2.90,2.50
24112017,17:00,APOEL,Ol. Nicosia,6 : 1,1.06,6.25,13.00
24112017,17:00,Aris,Ermis,0 : 2,2.60,2.85,2.25
24112017,18:00,Anorthosis,AEL Limassol,1 : 1,1.85,2.80,3.50
26112017,18:00,Apollon,Achnas,-,1.13,4.90,11.00
28112017,18:00,Ermis,APOEL,0 : 4,6.50,4.10,1.28
