date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,13:00,Atalanta -19,AC Milan -19,1 : 1,-,-,-
22102017,15:00,Chievo -19,Hellas Vérone -19,4 : 1,-,-,-
22102017,15:00,Lazio -19,Bologne -19,1 : 1,-,-,-
22102017,15:00,Udinese -19,Genoa -19,0 : 2,-,-,-
22102017,15:30,Sampdoria -19,Sassuolo -19,1 : 1,-,-,-
22102017,11:00,Inter -19,Fiorentina -19,2 : 0,-,-,-
22102017,14:00,Naples -19 ,Juventus -19,1 : 4,-,-,-
27102017,12:30,AS Rome -19,Atalanta -19,1 : 7,-,-,-
27102017,14:30,Juventus -19,Lazio -19,1 : 3,-,-,-
28102017,13:00,Genoa -19,Inter -19,4 : 2,-,-,-
28102017,14:30,Bologne -19,Naples -19 ,1 : 2,-,-,-
28102017,14:30,Fiorentina -19,Torino -19,0 : 3,-,-,-
28102017,14:30,Hellas Vérone -19,Udinese -19,0 : 1,-,-,-
28102017,14:30,Sassuolo -19,Chievo -19,4 : 2,-,-,-
29102017,10:00,AC Milan -19,Sampdoria -19 ,2 : 0,-,-,-
04112017,11:00,Naples -19,Sassuolo -19,4 : 1,-,-,-
04112017,13:00,Juventus -19,Fiorentina -19,2 : 0,-,-,-
04112017,14:00,Lazio -19,AC Milan -19,0 : 2,-,-,-
04112017,14:30,Atalanta -19,Genoa -19,0 : 0,-,-,-
04112017,14:30,Sampdoria -19 ,Bologne -19,0 : 2,-,-,-
04112017,14:30,Udinese -19,AS Rome -19,2 : 2,-,-,-
04112017,15:00,Chievo -19,Torino -19,1 : 2,-,-,-
