date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,22:00,San Martin Tucuman,Club Atletico Mitre,1 : 0,1.65,3.40,6.25
17102017,02:05,Los Andes,Sarmiento Junin,1 : 0,-,-,-
20102017,20:30,Deportivo Riestra,Club Atletico Mitre ,2 : 1,-,-,-
28102017,01:00,Ferro,Flandria,2 : 0,-,-,-
28102017,02:00,Sarmiento Junin ,Deportivo Riestra,1 : 0,-,-,-
28102017,02:05,Atl. Rafaela ,Nueva Chicago,0 : 0,-,-,-
28102017,02:30,Ind. Rivadavia,Agropecuario,0 : 3,-,-,-
28102017,03:00,Club Atletico Mitre,Almagro ,1 : 0,-,-,-
28102017,20:05,Quilmes,Sportivo Estudiantes ,0 : 0,-,-,-
28102017,20:30,All Boys,Instituto ,1 : 0,-,-,-
28102017,20:30,Brown Adrogue,Guillermo Brown,1 : 2,-,-,-
28102017,20:30,Villa Dalmine,Los Andes,2 : 0,-,-,-
28102017,23:00,Deportivo Moron,San Martin Tucuman,1 : 1,-,-,-
29102017,21:00,Boca Unidos,Santamarina,1 : 1,-,-,-
31102017,01:05,Aldosivi,CDJU Gualeguaychu,2 : 0,-,-,-
04112017,01:00,Los Andes,Gimnasia Jujuy ,1 : 1,-,-,-
04112017,01:45,San Martin Tucuman,Atl. Rafaela,0 : 2,-,-,-
04112017,20:05,Nueva Chicago,Boca Unidos,1 : 1,-,-,-
04112017,21:00,Agropecuario,Aldosivi ,2 : 0,-,-,-
04112017,23:00,Instituto,Club Atletico Mitre,0 : 0,-,-,-
04112017,23:00,Sportivo Estudiantes,Sarmiento Junin,1 : 1,-,-,-
04112017,23:05,Santamarina,Quilmes,3 : 2,-,-,-
05112017,19:00,Guillermo Brown,Ferro,3 : 0,-,-,-
05112017,19:30,Almagro,Deportivo Moron,2 : 2,-,-,-
05112017,19:30,Flandria ,Ind. Rivadavia,2 : 2,-,-,-
06112017,19:30,Deportivo Riestra ,Villa Dalmine,1 : 1,-,-,-
06112017,19:30,Deportivo Riestra ,Villa Dalmine,1 : 1,-,-,-
07112017,01:05,CDJU Gualeguaychu,All Boys,3 : 1,-,-,-
11112017,01:00,Atl. Rafaela,Almagro ,1 : 1,-,-,-
11112017,01:30,Ind. Rivadavia,Guillermo Brown,0 : 0,-,-,-
11112017,21:00,Aldosivi,Flandria,2 : 2,-,-,-
11112017,21:05,Quilmes,Nueva Chicago,1 : 1,-,-,-
11112017,22:00,Sarmiento Junin,Santamarina,3 : 3,-,-,-
12112017,19:05,All Boys,Agropecuario,4 : 0,-,-,-
12112017,19:05,Villa Dalmine,Sportivo Estudiantes,2 : 1,-,-,-
12112017,21:00,Boca Unidos,San Martin Tucuman,1 : 2,-,-,-
12112017,21:00,Gimnasia Jujuy,Deportivo Riestra,0 : 0,-,-,-
12112017,21:05,Ferro,Brown Adrogue,2 : 2,-,-,-
12112017,23:00,Club Atletico Mitre ,CDJU Gualeguaychu,0 : 0,-,-,-
12112017,19:05,All Boys,Agropecuario,4 : 0,-,-,-
12112017,19:05,Villa Dalmine,Sportivo Estudiantes,2 : 1,-,-,-
12112017,21:00,Boca Unidos,San Martin Tucuman,1 : 2,-,-,-
12112017,21:00,Gimnasia Jujuy,Deportivo Riestra,0 : 0,-,-,-
12112017,21:05,Ferro,Brown Adrogue,2 : 2,-,-,-
12112017,23:00,Club Atletico Mitre ,CDJU Gualeguaychu,0 : 0,-,-,-
17112017,01:00,Deportivo Moron,Instituto,0 : 1,-,-,-
18112017,21:00,Agropecuario,Club Atletico Mitre,2 : 0,-,-,-
18112017,21:05,Nueva Chicago,Sarmiento Junin,0 : 2,-,-,-
19112017,21:00,Almagro,Boca Unidos,2 : 1,-,-,-
19112017,21:00,Brown Adrogue,Ind. Rivadavia,0 : 0,-,-,-
19112017,21:00,Flandria ,All Boys ,2 : 0,-,-,-
19112017,21:00,Guillermo Brown,Aldosivi,1 : 1,-,-,-
19112017,22:00,San Martin Tucuman,Quilmes,1 : 1,-,-,-
19112017,23:00,Sportivo Estudiantes,Gimnasia Jujuy,0 : 0,-,-,-
20112017,21:00,Deportivo Riestra,Los Andes,0 : 1,-,-,-
20112017,23:00,Instituto,Atl. Rafaela,0 : 0,-,-,-
21112017,00:30,Santamarina,Villa Dalmine,1 : 0,-,-,-
21112017,01:05,CDJU Gualeguaychu,Deportivo Moron,1 : 0,-,-,-
25112017,01:30,All Boys,Guillermo Brown,2 : 0,-,-,-
25112017,21:00,Aldosivi,Brown Adrogue,-,-,-,-
25112017,21:00,Boca Unidos,Instituto,-,-,-,-
25112017,21:00,Gimnasia Jujuy,Santamarina,-,-,-,-
25112017,21:00,Los Andes,Sportivo Estudiantes,-,-,-,-
24112017,01:00,Sarmiento Junin,San Martin Tucuman,0 : 2,-,-,-
24112017,01:30,Ind. Rivadavia,Ferro ,2 : 0,-,-,-
24112017,21:05,Quilmes,Almagro,0 : 2,-,-,-
24112017,23:00,Atl. Rafaela ,CDJU Gualeguaychu ,3 : 0,-,-,-
26112017,00:15,Villa Dalmine,Nueva Chicago,0 : 0,-,-,-
26112017,01:00,Club Atletico Mitre,Flandria,-,-,-,-
27112017,01:05,Deportivo Moron,Agropecuario,2 : 1,-,-,-
