date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,00:00,Iberia,Coquimbo,1 : 2,-,-,-
20102017,23:00,San Felipe,S. Morning,0 : 0,-,-,-
22102017,01:30,Barnechea,Nublense ,1 : 1,-,-,-
22102017,00:00,Iberia,Copiapo,3 : 2,-,-,-
22102017,20:30,Valdivia,U. Calera,1 : 1,-,-,-
22102017,22:00,Arica,Rangers,1 : 0,-,-,-
22102017,22:00,Cobreloa,Magallanes,1 : 2,-,-,-
22102017,22:00,Cobresal,La Serena,2 : 1,-,-,-
22102017,23:30,Coquimbo,D. Puerto Montt,1 : 2,-,-,-
28102017,01:00,U. Calera,Barnechea,1 : 0,-,-,-
28102017,22:00,Copiapo,Coquimbo,2 : 0,-,-,-
28102017,22:00,Magallanes,Arica,2 : 1,-,-,-
28102017,22:00,S. Morning,Valdivia ,0 : 2,-,-,-
28102017,23:00,D. Puerto Montt,Cobresal,1 : 0,-,-,-
28102017,00:00,Iberia,Nublense,1 : 0,-,-,-
