date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:10,Dep. Capiata,Rubio Nu,1 : 2,2.10,3.10,3.40
17102017,23:00,Guarani,Libertad,2 : 0,-,-,-
17102017,01:00,Carabobo,Monagas,4 : 1,-,-,-
17102017,21:30,La Guaira,Aragua,0 : 1,-,-,-
17102017,21:30,Portuguesa,Anzoategui,3 : 0,-,-,-
18102017,01:10,Cerro Porteno,Independiente F.B.C.,1 : 0,-,-,-
18102017,23:00,Nacional Asuncion,Sol De America,0 : 1,-,-,-
18102017,21:00,Atl. Socopo,Mineros,0 : 0,-,-,-
18102017,21:00,JBL Zulia,Caracas,2 : 0,-,-,-
18102017,21:30,Lara ,Estudiantes M. ,3 : 3,-,-,-
18102017,23:00,Dep. Tachira,Metropolitanos,0 : 0,-,-,-
19102017,01:10,Rubio Nu,Olimpia Asuncion ,0 : 0,-,-,-
19102017,23:00,Diaz,Sportivo Trinidense,0 : 0,-,-,-
19102017,00:00,Trujillanos,Zamora,0 : 2,-,-,-
19102017,01:30,Atl. Venezuela,Zulia,3 : 1,-,-,-
20102017,01:10,Sp. Luqueño,Dep. Capiata,0 : 0,-,-,-
22102017,23:00,Libertad,Cerro Porteno ,2 : 3,-,-,-
22102017,21:30,Liverpool M.,Club Nacional,-,-,-,-
22102017,21:30,Plaza Colonia,Juventud,-,-,-,-
22102017,21:30,Racing Montevideo,Rampla Juniors,-,-,-,-
22102017,21:30,River Plate,Sud America,-,-,-,-
22102017,01:10,Olimpia Asuncion,Sp. Luqueño,3 : 2,-,-,-
22102017,01:10,Nacional Asuncion,Rubio Nu,1 : 1,-,-,-
22102017,23:00,Sol De America ,Sportivo Trinidense,2 : 1,-,-,-
22102017,21:30,Boston River,Wanderers,-,-,-,-
22102017,21:30,Cerro CA,Danubio,-,-,-,-
22102017,21:30,El Tanque Sisley,Fenix,-,-,-,-
22102017,23:00,Penarol,Defensor Sp.,-,-,-,-
22102017,21:30,Anzoategui,Atl. Venezuela,1 : 1,-,-,-
22102017,21:30,Aragua,Trujillanos,0 : 1,-,-,-
22102017,21:30,Caracas ,Lara,0 : 2,-,-,-
22102017,21:30,Estudiantes M.,JBL Zulia,2 : 0,-,-,-
22102017,21:30,Metropolitanos ,Monagas,0 : 2,-,-,-
22102017,21:30,Mineros,Dep. Tachira,0 : 0,-,-,-
22102017,21:30,Portuguesa,La Guaira,3 : 0,-,-,-
22102017,21:30,Zamora,Carabobo ,2 : 1,-,-,-
22102017,21:30,Zulia,Atl. Socopo,3 : 0,-,-,-
23102017,01:10,Olimpia Asuncion,Sp. Luqueño,3 : 2,-,-,-
24102017,23:00,Dep. Capiata ,Guarani ,3 : 2,-,-,-
25102017,01:10,Independiente F.B.C.,Diaz,1 : 3,-,-,-
26102017,01:10,Olimpia Asuncion,Sol De America,2 : 2,-,-,-
28102017,23:00,Diaz ,Libertad,0 : 2,-,-,-
28102017,21:00,Club Nacional,Boston River,-,-,-,-
28102017,21:00,Danubio,Plaza Colonia,-,-,-,-
28102017,21:00,Defensor Sp.,Racing Montevideo,-,-,-,-
28102017,21:00,Fenix,Liverpool M.,-,-,-,-
28102017,21:00,Juventud,River Plate,-,-,-,-
28102017,21:00,Rampla Juniors,El Tanque Sisley,-,-,-,-
28102017,21:00,Sud America,Penarol,-,-,-,-
28102017,21:00,Wanderers,Cerro CA,-,-,-,-
29102017,01:10,Cerro Porteno,Dep. Capiata,2 : 0,-,-,-
29102017,22:00,Guarani,Olimpia Asuncion ,3 : 0,-,-,-
29102017,20:30,Atl. Socopo,Portuguesa,1 : 2,-,-,-
29102017,20:30,Atl. Venezuela,Estudiantes M.,1 : 1,-,-,-
29102017,20:30,Carabobo,Metropolitanos,1 : 1,-,-,-
29102017,20:30,Dep. Tachira,Zulia,0 : 1,-,-,-
29102017,20:30,JBL Zulia,Mineros,0 : 3,-,-,-
29102017,20:30,La Guaira,Anzoategui,2 : 0,-,-,-
29102017,20:30,Lara,Aragua ,2 : 0,-,-,-
29102017,20:30,Monagas,Zamora ,0 : 1,-,-,-
29102017,20:30,Trujillanos,Caracas,3 : 2,-,-,-
30102017,00:10,Sp. Luque�o�,Nacional Asuncion,1�:�1,2.10,3.39,3.39
30102017,22:00,Sportivo Trinidense,Independiente F.B.C.,0�:�1,2.70,3.20,2.45
31102017,00:10,Rubio Nu ,Sol De America,1 : 2,-,-,-
04112017,22:00,Rubio Nu,Sp. Luqueño,3 : 3,-,-,-
04112017,20:30,Liverpool M.,Club Nacional,1 : 4,-,-,-
04112017,20:30,Plaza Colonia,Juventud,1 : 0,-,-,-
04112017,20:30,Racing Montevideo,Rampla Juniors,0 : 0,-,-,-
04112017,20:30,River Plate ,Sud America ,1 : 2,-,-,-
05112017,00:10,Sol De America,Independiente F.B.C.,3 : 1,-,-,-
05112017,21:00,Olimpia Asuncion,Cerro Porteno,2 : 1,-,-,-
05112017,00:10,Nacional Asuncion,Guarani,0 : 2,-,-,-
05112017,20:00,Boston River,Wanderers ,1 : 1,-,-,-
05112017,20:30,Cerro CA,Danubio,1 : 2,-,-,-
05112017,20:30,El Tanque Sisley,Fenix,1 : 1,-,-,-
05112017,23:00,Penarol,Defensor Sp. ,2 : 1,-,-,-
06112017,00:10,Nacional Asuncion,Guarani,0 : 4,-,-,-
06112017,22:00,Libertad,Sportivo Trinidense,0 : 1,-,-,-
06112017,00:10,Nacional Asuncion,Guarani,0 : 4,-,-,-
06112017,22:00,Libertad,Sportivo Trinidense,0 : 1,-,-,-
07112017,00:10,Dep. Capiata,Diaz,0 : 2,-,-,-
08112017,23:10,Nacional Asuncion,Cerro Porteno,1 : 2,-,-,-
08112017,21:00,Danubio,Plaza Colonia,2 : 2,-,-,-
08112017,21:00,Defensor Sp.,Racing Montevideo,4 : 2,-,-,-
08112017,21:00,Juventud,River Plate,1 : 0,-,-,-
08112017,21:00,Wanderers,Cerro CA,2 : 3,-,-,-
09112017,23:10,Rubio Nu,Libertad,2 : 4,-,-,-
09112017,00:00,Sud America,Penarol,2 : 3,-,-,-
09112017,21:00,Fenix,Liverpool M.,0 : 2,-,-,-
09112017,21:00,Rampla Juniors,El Tanque Sisley,1 : 1,-,-,-
10112017,23:10,Sportivo Trinidense,Dep. Capiata ,0 : 0,-,-,-
10112017,00:00,Club Nacional,Boston River,5 : 0,-,-,-
11112017,22:00,Sp. Luqueño ,Sol De America ,0 : 2,-,-,-
11112017,21:00,Cerro CA,Plaza Colonia,1 : 0,-,-,-
11112017,21:00,Racing Montevideo,Sud America,2 : 3,-,-,-
11112017,21:00,River Plate,Danubio,1 : 1,-,-,-
11112017,22:00,Penarol,Juventud,1 : 0,-,-,-
12112017,00:10,Diaz,Olimpia Asuncion,1 : 0,-,-,-
12112017,22:00,Cerro Porteno,Nacional Asuncion,3 : 1,-,-,-
12112017,21:00,Boston River,Fenix,0 : 0,-,-,-
12112017,21:00,Liverpool M.,Rampla Juniors,1 : 2,-,-,-
12112017,21:00,Wanderers,Club Nacional,2 : 3,-,-,-
12112017,23:30,El Tanque Sisley,Defensor Sp.,0 : 2,-,-,-
12112017,00:10,Guarani,Rubio Nu,0 : 1,-,-,-
12112017,23:10,Independiente F.B.C.,Libertad,-,-,-,-
12112017,00:10,Diaz,Olimpia Asuncion,1 : 0,-,-,-
12112017,22:00,Cerro Porteno,Nacional Asuncion,3 : 1,-,-,-
12112017,21:00,Boston River,Fenix,0 : 0,-,-,-
12112017,21:00,Liverpool M.,Rampla Juniors,1 : 2,-,-,-
12112017,21:00,Wanderers,Club Nacional,2 : 3,-,-,-
12112017,23:30,El Tanque Sisley,Defensor Sp.,0 : 2,-,-,-
13112017,00:10,Guarani,Rubio Nu,0 : 1,-,-,-
13112017,23:10,Independiente F.B.C.,Libertad,0 : 1,-,-,-
15112017,21:00,Fenix,Wanderers,4 : 1,-,-,-
15112017,21:00,Juventud ,Racing Montevideo,0 : 2,-,-,-
15112017,21:00,Sud America,El Tanque Sisley ,1 : 1,-,-,-
15112017,23:00,Plaza Colonia,River Plate,2 : 3,-,-,-
16112017,23:10,Sol De America,Libertad ,1 : 2,-,-,-
16112017,00:00,Club Nacional,Cerro CA,3 : 1,-,-,-
16112017,21:00,Danubio,Penarol,0 : 2,-,-,-
16112017,21:00,Rampla Juniors,Boston River,1 : 0,-,-,-
16112017,23:30,Defensor Sp.,Liverpool M. ,2 : 2,-,-,-
18112017,22:00,Rubio Nu,Cerro Porteno,0 : 3,-,-,-
18112017,21:00,Cerro CA,River Plate,2 : 2,-,-,-
18112017,21:00,El Tanque Sisley,Juventud,2 : 2,-,-,-
19112017,00:10,Dep. Capiata,Independiente F.B.C.,0 : 1,-,-,-
19112017,22:00,Olimpia Asuncion,Sportivo Trinidense,2 : 0,-,-,-
19112017,00:00,Club Nacional,Fenix,1 : 0,-,-,-
19112017,20:00,Boston River ,Defensor Sp.,0 : 1,-,-,-
19112017,21:00,Liverpool M. ,Sud America ,2 : 4,-,-,-
19112017,21:00,Racing Montevideo,Danubio,5 : 2,-,-,-
19112017,21:00,Wanderers,Rampla Juniors,1 : 0,-,-,-
19112017,23:00,Penarol,Plaza Colonia ,3 : 0,-,-,-
20112017,00:10,Sp. Luqueño,Guarani,0 : 2,-,-,-
20112017,23:10,Nacional Asuncion,Diaz,2 : 0,-,-,-
22112017,21:00,Fenix,Cerro CA,1 : 1,-,-,-
22112017,21:00,Juventud,Liverpool M.,2 : 1,-,-,-
22112017,21:00,River Plate,Penarol,2 : 1,-,-,-
22112017,21:00,Sud America,Boston River,1 : 0,-,-,-
23112017,21:00,Danubio,El Tanque Sisley,2 : 2,-,-,-
23112017,21:00,Rampla Juniors,Club Nacional,0 : 2,-,-,-
23112017,23:00,Plaza Colonia,Racing Montevideo,1 : 2,-,-,-
23112017,23:30,Defensor Sp.,Wanderers ,2 : 1,-,-,-
25112017,00:10,Guarani ,Sol De America,0 : 1,-,-,-
25112017,22:00,Cerro Porteno,Sp. Luqueño,-,-,-,-
25112017,21:00,Club Nacional,Defensor Sp.,-,-,-,-
25112017,21:00,Fenix,Rampla Juniors,-,-,-,-
25112017,21:00,Liverpool M.,Danubio,-,-,-,-
25112017,21:00,Racing Montevideo,River Plate,-,-,-,-
25112017,21:00,Wanderers,Sud America,-,-,-,-
25112017,23:30,El Tanque Sisley,Plaza Colonia,-,-,-,-
24112017,22:00,Independiente F.B.C.,Olimpia Asuncion ,1 : 3,-,-,-
24112017,21:00,Boston River,Juventud ,3 : 1,-,-,-
24112017,21:00,Cerro CA ,Penarol,0 : 4,-,-,-
