date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,02:00,Managua FC,Esteli,1 : 2,4.20,3.60,1.67
18102017,23:00,Ocotal,San Francisco,0 : 3,-,-,-
22102017,03:00,Diriangen,Chinandega,4 : 1,-,-,-
22102017,03:00,Esteli,Ferretti,1 : 0,-,-,-
22102017,19:00,Real Madriz,UNAN-Managua,5 : 0,-,-,-
22102017,23:00,Ocotal,Juventus Managua,1 : 1,-,-,-
22102017,23:00,San Francisco,Managua FC,0 : 2,-,-,-
25102017,23:00,Chinandega,Esteli ,2 : 2,-,-,-
25102017,23:00,Diriangen,Ocotal ,4 : 1,-,-,-
25102017,23:00,Ferretti,Managua FC,0 : 1,-,-,-
25102017,23:00,Juventus Managua,Real Madriz,1 : 1,-,-,-
