date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,10:45,Santa Teresa F,Betis F,1 : 2,-,-,-
29102017,12:00,Albacete F,Espanyol F,1 : 3,-,-,-
29102017,12:00,Athletic Bilbao F,Tenerife F,0 : 1,-,-,-
29102017,12:00,Valence F,Madrid C. F,4 : 0,-,-,-
29102017,12:00,Zaragoza CFF F,Vallecano F ,0 : 1,-,-,-
29102017,12:15,Huelva F,Levante F,0 : 1,-,-,-
29102017,16:00,Real Sociedad F,FC Séville F,0 : 1,-,-,-
29102017,18:15,Atletico Madrid F,Barcelone F ,1 : 1,-,-,-
04112017,10:45,Barcelone F,Huelva F,3 : 0,-,-,-
04112017,14:00,Madrid C. F,Atletico Madrid F,0 : 3,-,-,-
04112017,16:00,Levante F,Zaragoza CFF F,5 : 1,-,-,-
05112017,12:00,Betis F,Athletic Bilbao F,1 : 2,-,-,-
05112017,12:00,Espanyol F,Real Sociedad F,0 : 0,-,-,-
05112017,12:00,FC Séville F,Santa Teresa F,1 : 2,-,-,-
05112017,12:30,Vallecano F,Albacete F,2 : 2,-,-,-
05112017,13:00,Tenerife F,Valence F,0 : 0,-,-,-
11112017,14:00,Athletic Bilbao F,FC Séville F,2 : 1,-,-,-
11112017,18:30,Albacete F,Levante F,1 : 0,-,-,-
