date,horaire,team_home,team_away,score,cote1,coteN,cote2
25112017,18:00,Zeledon,Herediano,0 : 0,-,-,-
25112017,23:00,Santos De Guapiles,Saprissa,-,-,-,-
26112017,23:00,Santos De Guapiles,Saprissa,0 : 0,-,-,-
03122017,01:00,Herediano ,Saprissa,0 : 1,-,-,-
02122017,23:00,Zeledon,Santos De Guapiles ,1 : 0,-,-,-
09122017,03:00,Herediano,Santos De Guapiles,2 : 0,1.55,3.60,5.75
06122017,01:30,Santos De Guapiles,Herediano,0 : 2,3.29,3.20,2.10
06122017,03:30,Saprissa,Zeledon,2 : 1,1.57,4.00,5.50
03122017,01:00,Herediano ,Saprissa,0 : 1,1.90,3.29,3.75
10122017,00:00,Zeledon,Saprissa,3 : 2,2.89,3.20,2.29
