date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,04:00,Herediano,Alajuelense ,3 : 2,-,-,-
22102017,19:00,Grecia,U.C.R.,1 : 0,-,-,-
22102017,19:00,Saprissa,Limon,5 : 2,-,-,-
22102017,21:00,Guadalupe,Liberia ,4 : 0,-,-,-
22102017,22:00,Carmelita,Zeledon,2 : 1,-,-,-
25102017,04:00,Alajuelense,Guadalupe,0 : 1,-,-,-
25102017,22:30,U.C.R.,Saprissa,1 : 1,-,-,-
25102017,23:00,Grecia ,Herediano,0 : 1,-,-,-
25102017,23:00,Limon,Zeledon,2 : 2,-,-,-
26102017,04:00,Cartagines,Carmelita,2 : 6,-,-,-
28102017,22:00,Carmelita,Liberia,1 : 4,-,-,-
28102017,22:30,U.C.R.,Limon,1 : 1,-,-,-
29102017,03:00,Herediano,Cartagines,3 : 0,-,-,-
29102017,18:00,Saprissa,Alajuelense,2 : 0,-,-,-
29102017,18:00,Zeledon,Guadalupe ,1 : 1,-,-,-
29102017,21:00,Santos De Guapiles,Grecia,5 : 0,-,-,-
