date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:30,O'Higgins ,A. Italiano,1 : 2,2.50,3.30,2.75
22102017,17:00,Deportes Iquique ,Deportes Temuco,0 : 1,1.85,2.95,3.30
22102017,20:30,Huachipato,U. Catolica ,3 : 1,2.75,3.05,2.05
22102017,23:00,A. Italiano,Colo Colo,0 : 3,3.40,3.30,1.72
22102017,01:30,U. De Chile,Palestino,2 : 1,1.68,3.25,3.60
22102017,01:30,San Luis ,Antofagasta,1 : 3,2.35,2.80,2.50
22102017,17:00,S. Wanderers,Everton,3 : 3,2.40,2.80,2.45
22102017,20:30,U. De Concepcion,O'Higgins,2 : 2,2.05,2.85,2.95
22102017,23:00,Curico Unido,U. Espanola ,0 : 1,2.10,2.80,2.85
23102017,01:30,U. De Chile,Palestino,2 : 1,1.68,3.25,3.60
