date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,14:00,Coventry -23,Bristol City -23,1 : 1,1.33,4.75,7.00
16102017,14:00,Ipswich -23,Crystal Palace -23,0 : 1,1.80,4.00,3.25
16102017,15:00,Charlton -23,QPR -23,4 : 5,4.00,4.00,1.67
16102017,15:00,Sheffield Utd -23,Bolton -23,3 : 2,1.95,3.60,3.30
16102017,15:00,Watford -23,Colchester -23,3 : 0,1.60,4.33,4.33
16102017,15:30,Millwall -23,Cardiff -23,1 : 1,2.35,3.75,2.40
16102017,20:00,Hull -23,Huddersfield -23,3 : 2,1.53,3.80,5.00
17102017,14:00,Sheffield Wed -23,Birmingham -23,4 : 1,-,-,-
20102017,15:00,QPR -23,Ipswich -23,1 : 2,-,-,-
20102017,20:00,Birmingham -23,Barnsley -23,1 : 2,-,-,-
20102017,20:00,Bristol City -23,Millwall -23,3 : 0,-,-,-
23102017,14:00,Crewe -23,Nottingham -23,1 : 1,-,-,-
23102017,14:00,Crystal Palace -23,Coventry -23,3 : 4,-,-,-
23102017,15:00,Huddersfield -23,Leeds -23,3 : 2,-,-,-
23102017,20:00,Bolton -23,Sheffield Wed -23,3 : 1,-,-,-
23102017,20:00,Burnley -23,Sheffield Utd -23,1 : 6,-,-,-
23102017,20:00,Cardiff -23 ,Watford -23,2 : 0,-,-,-
23102017,20:00,Colchester -23,Charlton -23,1 : 1,-,-,-
