date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,13:30,Olmaliq,Mashal Muborak,2 : 1,-,-,-
20102017,14:00,Obod,Neftchi Fargona,-,-,-,-
20102017,14:00,Qizilqum Zarafshon,Lok. Tashkent,0 : 2,-,-,-
20102017,14:00,Sogdiana ,Met. Bekobod,3 : 2,-,-,-
20102017,15:00,Nasaf Qarshi,Din. Samarkand,3 : 0,-,-,-
22102017,12:30,Kokand 1912,Navbahor Namangan ,2 : 0,-,-,-
22102017,14:00,Bunyodkor,Shortan Guzor,3 : 1,-,-,-
22102017,14:00,Buxoro,Pakhtakor,0 : 2,-,-,-
25102017,13:30,Lok. Tashkent,Kokand 1912,3 : 0,-,-,-
26102017,12:00,Met. Bekobod,Olmaliq,3 : 2,-,-,-
26102017,13:00,Mashal Muborak ,Nasaf Qarshi,1 : 2,-,-,-
26102017,13:30,Neftchi Fargona,Qizilqum Zarafshon ,2 : 0,-,-,-
26102017,14:00,Navbahor Namangan,Buxoro,1 : 0,-,-,-
26102017,15:00,Pakhtakor,Bunyodkor,1 : 0,-,-,-
27102017,13:00,Shortan Guzor,Sogdiana,3 : 1,-,-,-
04112017,11:30,Olmaliq,Shortan Guzor,3 : 1,-,-,-
04112017,13:00,Buxoro,Kokand 1912,2 : 2,-,-,-
04112017,13:00,Nasaf Qarshi,Met. Bekobod,2 : 0,-,-,-
04112017,13:30,Qizilqum Zarafshon,Din. Samarkand,1 : 0,-,-,-
04112017,14:00,Obod,Mashal Muborak,0 : 3,-,-,-
03112017,12:00,Neftchi Fargona,Lok. Tashkent,0 : 0,-,-,-
03112017,13:00,Bunyodkor,Navbahor Namangan,2 : 2,-,-,-
03112017,13:00,Sogdiana,Pakhtakor,0 : 1,-,-,-
08112017,11:00,Din. Samarkand,Neftchi Fargona,1 : 0,-,-,-
08112017,12:00,Mashal Muborak,Qizilqum Zarafshon,4 : 0,-,-,-
08112017,12:30,Lok. Tashkent,Buxoro,2 : 0,-,-,-
08112017,13:00,Navbahor Namangan,Sogdiana,4 : 1,-,-,-
