date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,St. Gilloise,Lierse,3 : 2,2.30,3.40,3.00
22102017,17:00,Lierse,Cercle Bruges,3 : 2,-,-,-
22102017,20:30,KSV Roeselare,Westerlo,0 : 0,-,-,-
22102017,20:30,St. Gilloise,Tubize,1 : 0,-,-,-
22102017,16:00,Beerschot Wilrijk,Louvain,2 : 2,-,-,-
23102017,20:30,St. Gilloise,Tubize,1 : 2,-,-,-
27102017,20:30,Beerschot Wilrijk,KSV Roeselare,5 : 0,-,-,-
28102017,17:00,Westerlo,Lierse,0 : 1,-,-,-
28102017,20:30,Louvain,St. Gilloise,1 : 0,-,-,-
29102017,16:00,Tubize,Cercle Bruges,1 : 1,-,-,-
05112017,16:00,Cercle Bruges,Westerlo,3 : 1,-,-,-
05112017,16:00,KSV Roeselare,Tubize,1 : 0,-,-,-
05112017,16:00,Lierse ,Louvain,2 : 1,-,-,-
05112017,16:00,St. Gilloise,Beerschot Wilrijk,0 : 3,-,-,-
11112017,17:00,Tubize,Lierse,1 : 2,-,-,-
11112017,20:30,Westerlo,St. Gilloise,0 : 1,-,-,-
12112017,14:30,Cercle Bruges,Beerschot Wilrijk ,4 : 0,-,-,-
12112017,18:00,Louvain,KSV Roeselare,1 : 1,-,-,-
12112017,14:30,Cercle Bruges,Beerschot Wilrijk ,4 : 0,-,-,-
12112017,18:00,Louvain,KSV Roeselare,1 : 1,-,-,-
