date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,14:00,Decic,Mladost Podgorica,1 : 1,3.05,2.80,2.00
18102017,14:00,Kom Podgorica,Iskra,1 : 0,3.00,2.80,2.05
18102017,14:00,Rudar,Grbalj,0 : 1,1.68,2.90,4.20
18102017,14:00,Sutjeska,OFK Petrovac,3 : 0,1.25,3.80,8.75
18102017,18:00,Buducnost,Zeta,2 : 1,1.88,2.85,3.40
22102017,12:30,Iskra,Sutjeska,0 : 1,2.70,2.60,2.35
22102017,13:30,Grbalj,Decic,1 : 1,1.50,3.25,4.90
22102017,13:30,OFK Petrovac,Rudar,0 : 0,2.95,2.75,2.10
22102017,13:30,Zeta,Kom Podgorica,4 : 2,1.40,3.30,6.00
22102017,13:00,Mladost Podgorica,Buducnost,3 : 3,2.25,2.60,2.85
28102017,13:30,Decic,Rudar,0 : 0,3.60,3.00,1.75
28102017,13:30,Iskra,OFK Petrovac,0 : 0,1.58,3.10,4.50
28102017,13:30,Kom Podgorica ,Mladost Podgorica,2 : 1,4.10,3.20,1.60
28102017,14:00,Sutjeska,Zeta,1 : 0,1.95,2.85,3.15
28102017,16:00,Buducnost,Grbalj,4 : 1,1.52,3.10,5.00
04112017,13:00,Mladost Podgorica ,Sutjeska,0 : 2,2.40,2.80,2.45
04112017,13:30,Grbalj,Kom Podgorica,3 : 2,1.82,2.80,3.60
04112017,13:30,Rudar,Buducnost,2 : 0,3.40,2.75,1.90
04112017,13:30,Zeta ,Iskra ,1 : 2,1.40,3.30,6.25
04112017,17:00,OFK Petrovac,Decic,1 : 0,2.00,2.80,3.10
18112017,13:00,Iskra,Mladost Podgorica,0 : 1,2.75,2.65,2.30
18112017,13:00,Kom Podgorica,Rudar,1 : 0,2.85,2.65,2.20
18112017,13:00,Sutjeska,Grbalj,1 : 0,1.62,3.05,4.30
18112017,13:00,Zeta,OFK Petrovac,0 : 0,1.38,3.40,6.25
18112017,17:00,Buducnost,Decic,4 : 1,1.23,4.10,8.00
25112017,13:00,Mladost Podgorica,Zeta,0 : 0,2.05,2.85,2.90
24112017,13:00,Decic,Kom Podgorica,1 : 1,2.00,2.85,3.05
24112017,13:00,Grbalj,Iskra,0 : 1,1.70,2.90,4.00
24112017,13:00,OFK Petrovac,Buducnost,0 : 0,4.60,2.90,1.62
24112017,13:00,Rudar,Sutjeska,0 : 3,2.75,2.60,2.30
