date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,19:00,Bale,Thun,2 : 1,1.30,4.25,6.00
22102017,19:00,Zurich,Grasshoppers,0 : 4,1.70,3.30,3.60
22102017,16:00,Luzern,Young Boys,0 : 1,3.15,3.30,1.82
22102017,16:00,Sion,Lugano ,2 : 2,1.90,3.05,3.15
22102017,16:00,St. Gallen,Lausanne,0 : 4,1.72,3.40,3.40
28102017,19:00,Lausanne,Thun,1 : 3,2.50,3.15,2.20
28102017,19:00,Zurich,Bale,0 : 0,2.90,3.05,2.00
29102017,16:00,Lugano,Luzern,1 : 0,1.88,3.15,3.10
29102017,16:00,St. Gallen,Grasshoppers,3 : 1,2.45,3.05,2.30
29102017,16:00,Young Boys,Sion,5 : 1,1.35,4.00,5.50
04112017,19:00,Grasshoppers,Lausanne,2 : 0,1.55,3.50,4.10
04112017,19:00,Sion,Zurich,1 : 1,2.70,3.00,2.15
