date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,19:30,Drochtersen/Assel,Braunschweig II,1 : 1,-,-,-
20102017,19:30,Hannover II,Havelse,2 : 2,-,-,-
22102017,14:00,Lubeck,Egestorf-Langreder,0 : 2,-,-,-
22102017,15:00,Eutin,BSV Rehden,1 : 3,-,-,-
22102017,16:00,Jeddeloh,SC Weiche-08,1 : 2,-,-,-
22102017,13:00,Hamburger SV II,Oldenburg,6 : 0,-,-,-
22102017,14:00,St. Pauli II,Luneburger Hansa,1 : 1,-,-,-
22102017,14:00,Wolfsburg II,Altona,6 : 1,-,-,-
22102017,15:00,Hildesheim,Norderstedt,0 : 2,-,-,-
25102017,18:00,Hannover II,Lubeck,2 : 0,-,-,-
27102017,19:00,BSV Rehden,Hamburger SV II,0 : 0,-,-,-
28102017,12:30,Altona,Eutin,-,-,-,-
28102017,13:30,SC Weiche-08,Drochtersen/Assel,1 : 0,-,-,-
28102017,14:00,Braunschweig II,Wolfsburg II,2 : 2,-,-,-
28102017,14:00,Luneburger Hansa,Hannover II,-,-,-,-
28102017,18:30,Egestorf-Langreder,Hildesheim,3 : 0,-,-,-
29102017,14:00,Havelse,Lubeck,0 : 4,-,-,-
29102017,14:00,Norderstedt,Jeddeloh,-,-,-,-
29102017,14:00,Oldenburg,St. Pauli II,-,-,-,-
31102017,14:00,Eutin ,Luneburger Hansa ,4 : 0,-,-,-
04112017,12:00,Hamburger SV II ,Altona,2 : 0,-,-,-
04112017,13:00,Hannover II,Oldenburg,2 : 3,-,-,-
04112017,14:00,Lubeck,Hildesheim,0 : 0,-,-,-
04112017,15:00,Eutin,Braunschweig II,3 : 1,-,-,-
04112017,16:00,Jeddeloh ,Egestorf-Langreder,1 : 2,-,-,-
04112017,17:00,Drochtersen/Assel,Norderstedt,4 : 0,-,-,-
05112017,14:00,Havelse,Luneburger Hansa,-,-,-,-
05112017,14:00,St. Pauli II,BSV Rehden,2 : 1,-,-,-
05112017,14:00,Wolfsburg II,SC Weiche-08,1 : 2,-,-,-
08112017,18:00,Egestorf-Langreder,St. Pauli II,3 : 1,-,-,-
10112017,20:00,Lubeck,Luneburger Hansa,1 : 0,-,-,-
