date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,19:00,Nordhausen,Oberlausitz,1 : 1,-,-,-
20102017,19:30,Luckenwalde,Neustrelitz,1 : 4,-,-,-
22102017,13:30,Berliner AK 07,Halberstadt,1 : 1,-,-,-
22102017,13:30,Hertha II ,Meuselwitz,0 : 0,-,-,-
22102017,13:30,Babelsberg,Bautzen,0 : 0,-,-,-
22102017,13:30,BFC Dynamo,Chemie Leipzig,3 : 0,-,-,-
22102017,13:30,Furstenwalde,Cottbus,1 : 3,-,-,-
22102017,13:30,Lokomotive Leipzig,Auerbach,1 : 1,-,-,-
22102017,13:30,Viktoria Berlin,Altglienicke,0 : 0,-,-,-
27102017,19:00,BFC Dynamo,Berliner AK 07,1 : 2,-,-,-
27102017,19:00,Halberstadt,Hertha II,2 : 0,-,-,-
28102017,13:30,Auerbach,Babelsberg,2 : 2,-,-,-
28102017,13:30,Chemie Leipzig,Altglienicke,1 : 1,-,-,-
28102017,13:30,Cottbus,Luckenwalde,2 : 0,-,-,-
28102017,13:30,Oberlausitz,Viktoria Berlin,2 : 3,-,-,-
