date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,13:00,FSV Frankfurt,Kassel,4 : 1,-,-,-
22102017,14:00,Koblenz,Hoffenheim II,0 : 1,-,-,-
22102017,14:00,Mainz II,Elversberg,1 : 1,-,-,-
22102017,14:00,Saarbrucken,Stuttgart II,5 : 0,-,-,-
22102017,14:00,Stadtallendorf,Schott Mainz,2 : 1,-,-,-
22102017,14:00,Stuttgarter Kickers,Rochling,1 : 4,-,-,-
22102017,14:00,Walldorf,TSV Steinbach,0 : 2,-,-,-
22102017,14:00,Mannheim,Offenbach,2 : 0,-,-,-
22102017,14:00,Worms,Ulm ,1 : 2,-,-,-
25102017,14:00,Mainz II,Freiburg II,4 : 1,-,-,-
27102017,19:00,Hoffenheim II,Stadtallendorf,2 : 0,-,-,-
27102017,19:00,Kassel,Worms,0 : 0,-,-,-
27102017,19:00,TSV Steinbach,Koblenz,1 : 2,-,-,-
27102017,19:30,Elversberg,FSV Frankfurt,3 : 1,-,-,-
28102017,14:00,Offenbach,Saarbrucken,1 : 2,-,-,-
28102017,14:00,Rochling,Mainz II,0 : 2,-,-,-
28102017,14:00,Ulm,Walldorf,0 : 0,-,-,-
29102017,14:00,Schott Mainz,Mannheim,0 : 2,-,-,-
29102017,15:00,Freiburg II,Stuttgarter Kickers,0 : 0,-,-,-
30102017,20:15,Worms,Elversberg,1�:�0,5.25,3.75,1.66
31102017,14:00,FSV Frankfurt,Rochling ,2 : 0,-,-,-
31102017,14:00,Koblenz,Ulm,2 : 2,-,-,-
31102017,14:00,Stadtallendorf,TSV Steinbach,1 : 1,-,-,-
31102017,14:00,Stuttgart II,Offenbach,2 : 2,-,-,-
31102017,14:00,Walldorf,Kassel,2 : 1,-,-,-
02112017,14:00,Mannheim,Hoffenheim II ,2 : 2,-,-,-
02112017,14:00,Saarbrucken,Schott Mainz,4 : 0,-,-,-
04112017,14:00,Elversberg,Walldorf,3 : 1,-,-,-
04112017,14:00,Hoffenheim II,Saarbrucken,1 : 1,-,-,-
04112017,14:00,Rochling,Worms,2 : 0,-,-,-
04112017,14:00,Schott Mainz,Stuttgart II,2 : 0,-,-,-
04112017,14:00,Stuttgarter Kickers ,Mainz II,1 : 2,-,-,-
04112017,14:00,TSV Steinbach,Mannheim,0 : 2,-,-,-
04112017,14:00,Ulm,Stadtallendorf ,2 : 2,-,-,-
05112017,14:00,Freiburg II,FSV Frankfurt,2 : 1,-,-,-
05112017,14:00,Kassel,Koblenz,1 : 1,-,-,-
10112017,19:00,Stadtallendorf,Kassel,3 : 1,-,-,-
11112017,14:00,Koblenz,Elversberg,2 : 3,-,-,-
11112017,14:00,Mannheim,Ulm,1 : 0,-,-,-
11112017,14:00,Offenbach,Schott Mainz,3 : 0,-,-,-
11112017,14:00,Saarbrucken,TSV Steinbach ,4 : 1,-,-,-
11112017,14:00,Stuttgart II,Hoffenheim II,1 : 3,-,-,-
11112017,14:00,Walldorf,Rochling,1 : 1,-,-,-
11112017,14:00,Worms,Freiburg II,1 : 4,-,-,-
12112017,14:00,FSV Frankfurt,Stuttgarter Kickers,2 : 4,-,-,-
12112017,14:00,FSV Frankfurt,Stuttgarter Kickers,2 : 4,-,-,-
