date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:15,Bonner,Aachen,0 : 2,4.00,3.75,1.83
17102017,19:30,Dusseldorf II,Dortmund II,2 : 0,-,-,-
20102017,18:30,Dusseldorf II,Uerdingen,0 : 0,-,-,-
20102017,19:00,Verl,Westfalia Rhynern,2 : 1,-,-,-
20102017,20:00,Monchengladbach II,Wiedenbruck ,0 : 4,-,-,-
22102017,14:00,Dortmund II ,Wuppertaler,2 : 2,-,-,-
22102017,14:00,Erndtebruck,Koln II,3 : 1,-,-,-
22102017,14:00,Rodinghausen,Wattenscheid,2 : 0,-,-,-
22102017,14:00,Viktoria Koln,Wegberg-Beeck,7 : 0,-,-,-
22102017,20:15,Oberhausen,Bonner,2 : 0,-,-,-
22102017,17:00,Aachen,RW Essen,1 : 2,-,-,-
23102017,20:15,Oberhausen,Bonner,4 : 0,-,-,-
25102017,19:30,Koln II,Wuppertaler,6 : 3,-,-,-
28102017,14:00,Bonner,Erndtebruck,3 : 0,-,-,-
28102017,14:00,Koln II,Dusseldorf II,3 : 1,-,-,-
28102017,14:00,Monchengladbach II,Verl,0 : 3,-,-,-
28102017,14:00,RW Essen,Oberhausen,1 : 1,-,-,-
28102017,14:00,Uerdingen,Dortmund II ,1 : 0,-,-,-
28102017,14:00,Wattenscheid,Viktoria Koln,0 : 2,-,-,-
28102017,14:00,Wegberg-Beeck,Aachen,1 : 3,-,-,-
28102017,14:00,Westfalia Rhynern,Rodinghausen,1 : 8,-,-,-
28102017,14:00,Wiedenbruck,Wuppertaler,2 : 0,-,-,-
04112017,14:00,Aachen,Wattenscheid,1 : 2,-,-,-
04112017,14:00,Dusseldorf II,Bonner,1 : 3,-,-,-
04112017,14:00,Erndtebruck,RW Essen,0 : 2,-,-,-
04112017,14:00,Rodinghausen,Monchengladbach II ,0 : 2,-,-,-
04112017,14:00,Viktoria Koln,Westfalia Rhynern,6 : 1,-,-,-
04112017,14:00,Wuppertaler,Uerdingen,0 : 1,-,-,-
05112017,14:00,Dortmund II,Koln II,-,-,-,-
03112017,19:30,Oberhausen,Wegberg-Beeck,1 : 1,-,-,-
03112017,19:30,Wiedenbruck,Verl,0 : 0,-,-,-
10112017,19:00,Monchengladbach II ,Viktoria Koln,0 : 1,-,-,-
10112017,19:00,Verl,Rodinghausen,3 : 3,-,-,-
10112017,19:30,Uerdingen,Wiedenbruck,2 : 1,-,-,-
10112017,19:30,Wegberg-Beeck,Erndtebruck,2 : 3,-,-,-
11112017,14:00,Wattenscheid,Oberhausen,0 : 0,-,-,-
11112017,14:00,Westfalia Rhynern,Aachen,-,-,-,-
12112017,14:00,RW Essen,Dusseldorf II,2 : 0,-,-,-
12112017,18:00,Bonner,Dortmund II,0 : 4,-,-,-
12112017,14:00,RW Essen,Dusseldorf II,2 : 0,-,-,-
12112017,18:00,Bonner,Dortmund II,0 : 4,-,-,-
14112017,19:30,Monchengladbach II,Wuppertaler,0 : 2,-,-,-
17112017,19:30,Rodinghausen,Wiedenbruck,0 : 2,-,-,-
17112017,19:30,RW Essen,Dortmund II,0 : 1,-,-,-
18112017,13:00,Koln II,Uerdingen,1 : 0,-,-,-
18112017,14:00,Monchengladbach II,Aachen,1 : 2,-,-,-
18112017,14:00,Verl,Viktoria Koln,1 : 1,-,-,-
18112017,14:00,Wattenscheid,Erndtebruck,3 : 0,-,-,-
18112017,14:00,Wegberg-Beeck,Dusseldorf II,0 : 3,-,-,-
18112017,14:00,Westfalia Rhynern,Oberhausen,0 : 1,-,-,-
19112017,14:00,Bonner,Wuppertaler,1 : 4,-,-,-
24112017,14:00,Aachen,Koln II,2 : 0,-,-,-
24112017,14:00,Verl,Dortmund II,-,-,-,-
24112017,18:00,Bonner,Rodinghausen,-,-,-,-
27112017,18:00,Dortmund II,Koln II,-,-,-,-
30112017,19:00,Viktoria Koln,Rodinghausen,1 : 0,-,-,-
30112017,19:30,Uerdingen,Bonner,1 : 0,-,-,-
02122017,14:00,Oberhausen,Monchengladbach II,1 : 2,-,-,-
02122017,15:00,Wuppertaler,RW Essen,-,-,-,-
01122017,14:00,Aachen,Verl,2 : 0,-,-,-
01122017,14:00,Dortmund II,Wegberg-Beeck ,2 : 0,-,-,-
01122017,14:00,Dusseldorf II,Wattenscheid,0 : 1,-,-,-
01122017,14:00,Erndtebruck,Westfalia Rhynern,-,-,-,-
01122017,15:00,Wiedenbruck,Koln II,2 : 1,-,-,-
09122017,14:00,Bonner,Koln II,-,2.50,3.75,2.54
09122017,14:00,Wegberg-Beeck,Wuppertaler,-,3.75,4.00,1.83
08122017,14:00,Rodinghausen,Aachen,-,2.04,3.60,3.29
08122017,14:00,RW Essen,Uerdingen,-,3.00,3.00,2.54
08122017,14:00,Viktoria Koln,Wiedenbruck,-,1.44,4.50,6.50
08122017,14:00,Wattenscheid,Dortmund II,-,2.62,3.20,2.62
08122017,14:00,Westfalia Rhynern,Dusseldorf II,-,3.10,3.60,2.14
07122017,19:00,Verl,Oberhausen,2 : 0,1.95,3.39,3.79
07122017,19:30,Monchengladbach II,Erndtebruck,-,1.44,4.50,6.50
