date,horaire,team_home,team_away,score,cote1,coteN,cote2
14112017,18:30,Jong Waalwijk ,Jong Nijmegen ,1 : 2,-,-,-
20112017,14:00,Jong Heracles,Jong Den Haag,2 : 1,-,-,-
20112017,18:30,Jong Dordrecht,Jong Zwolle,0 : 4,-,-,-
20112017,18:30,Jong FC Eindhoven,Jong G.A. Eagles,3 : 0,-,-,-
20112017,18:30,Jong Heerenveen,Jong Excelsior,3 : 1,-,-,-
20112017,18:30,Jong Helmond,Jong Willem II ,4 : 2,-,-,-
20112017,18:30,Jong Waalwijk,Jong Nac Breda,4 : 0,-,-,-
26112017,14:00,Jong Feyenoord,Jong Den Haag,-,-,-,-
03122017,14:00,Jong Nac Breda,Jong Heracles,2 : 1,-,-,-
03122017,14:00,Jong Zwolle,Jong Roda,4 : 4,-,-,-
03122017,18:30,Jong Excelsior,Jong Waalwijk,1 : 2,-,-,-
03122017,18:30,Jong G.A. Eagles,Jong Helmond,1 : 2,-,-,-
03122017,18:30,Jong Nijmegen,Jong Cambuur,3 : 2,-,-,-
03122017,18:30,Jong Willem II,Jong Dordrecht,1 : 2,-,-,-
03122017,14:00,Jong Nac Breda,Jong Heracles,2 : 1,4.00,4.20,1.64
03122017,14:00,Jong Zwolle,Jong Roda,4 : 4,1.57,4.33,4.00
03122017,18:30,Jong Excelsior,Jong Waalwijk,1 : 2,1.57,4.20,4.50
03122017,18:30,Jong G.A. Eagles,Jong Helmond,1 : 2,2.00,4.00,2.89
03122017,18:30,Jong Nijmegen,Jong Cambuur,3 : 2,1.44,4.50,5.50
03122017,18:30,Jong Willem II,Jong Dordrecht,1 : 2,1.66,4.00,4.00
10122017,18:30,Jong Waalwijk,Jong Heerenveen,-,2.50,3.75,2.25
